character,Ant-Man,Avengers: Age of Ultron,Avengers: Endgame,Avengers: Infinity War,Black Panther,Captain America: Civil War,Captain America: The First Avenger,Captain America: The Winter Soldier,Captain Marvel,Guardians of the Galaxy Vol. 2,Iron Man,Iron Man 2,Iron Man 3,Spider-Man: Homecoming,The Avengers,Thor,Thor: Ragnarok,Thor: The Dark World,total lines,total words,movie appearances,avg words per line,avg lines per movie
TONY STARK,0,173,137,119,0,165,0,0,0,0,252,335,358,74,152,0,0,0,1788,22590,9,12,198
STEVE ROGERS,3,133,119,25,0,154,186,218,3,0,0,0,0,7,121,0,0,0,977,8653,10,8,97
THOR,0,55,70,74,0,0,0,0,0,0,0,0,0,0,47,166,289,133,863,9487,7,10,123
PETER PARKER,0,0,7,39,0,73,0,0,0,0,0,0,0,402,0,0,0,0,551,5517,4,10,137
NATASHA ROMANOFF,1,79,69,15,0,64,0,112,3,0,0,55,0,0,97,0,1,0,498,4689,10,9,49
PEPPER POTTS,0,0,15,21,0,0,0,0,0,0,114,157,88,7,29,0,0,0,442,3492,7,7,63
BRUCE BANNER,0,83,93,45,0,0,0,0,2,0,0,0,7,0,84,0,62,0,379,3840,7,10,54
NICK FURY,0,26,0,7,0,0,5,68,120,0,0,28,0,0,109,0,0,0,366,4524,7,12,52
LOKI,0,0,1,6,0,0,0,0,0,0,0,0,0,0,68,91,74,76,327,4097,6,12,54
SCOTT LANG,222,0,70,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,324,3236,3,9,108
JAMES RHODES,0,20,38,17,0,25,0,0,2,0,67,80,63,0,0,0,0,0,318,3486,8,10,39
PETER QUILL,0,0,8,79,0,0,0,0,0,183,0,0,0,0,0,0,0,0,276,2916,3,10,92
CAROL DANVERS,0,0,18,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,234,1954,2,8,117
JANE FOSTER,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,119,0,106,233,2114,3,9,77
ROCKET,0,0,51,46,0,0,0,0,0,120,0,0,0,0,0,0,0,0,217,2420,3,11,72
CLINT BARTON,0,69,44,0,0,27,0,0,0,0,0,0,0,0,43,1,0,0,185,1911,5,10,37
SAM WILSON,14,4,16,9,0,63,0,67,0,0,0,0,0,0,0,0,0,0,174,1522,6,8,29
GAMORA,0,0,22,44,0,0,0,0,0,105,0,0,0,0,0,0,0,0,173,1552,3,8,57
T'CHALLA,0,0,1,17,125,28,0,0,0,0,0,0,0,0,0,0,0,0,172,1896,4,11,43
HAPPY HOGAN,0,0,4,0,0,0,0,0,0,0,2,40,53,59,0,0,0,0,162,1248,5,7,32
HANK PYM,140,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,2081,2,14,73
ODIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,25,62,136,2200,3,16,45
JARVIS,0,24,0,0,0,0,0,0,0,0,34,20,44,0,13,0,0,0,135,1405,5,10,27
NED LEEDS,0,0,0,1,0,0,0,0,0,0,0,0,0,130,0,0,0,0,135,1171,2,8,67
