character,line
THE OTHER,"The Tesseract has awakened. It is on a little world, a human world. They would wield its power."
THE OTHER,But our ally knows its workings as they never will. He is ready to lead. And our force...
THE OTHER,"...our Chitauri, will follow. The world will be his...the universe, yours. And the humans, what can they do but burn?"
INTERCOM VOICE,"All personnel, evacuation order has been confirmed. Proceed to your designated vehicles..."
INTERCOM VOICE,...for all campus evacuation.
INTERCOM VOICE,This is not a drill. Emergency personnel proceed to your designated vehicles for all campus evacuation.
FURY,How bad is it?
AGENT COULSON,"That’s the problem, sir. We don’t know."
AGENT COULSON,Doctor Selvig read an...
AGENT COULSON,...energy surge from the Tesseract four hours ago.
FURY,NASA didn’t authorize Selvig could go to test B.
AGENT COULSON,He wasn’t testing it. He wasn’t even in the room. Spontaneous event.
MARIA HILL,It just turned itself on?
FURY,Where are the energy levels now?
AGENT COULSON,Climbing. When Selvig couldn’t shut it down we ordered evac.
FURY,How long to get everyone out?
AGENT COULSON,Campus should be clear in the next half hour.
FURY,Do better.
MARIA HILL,"Sir, evacuation may be futile. "
FURY,We should tell them to go back to sleep?
MARIA HILL,If we can’t control the Tesseract’s energy there may not be a minimum safe distance.
FURY,I need you to make sure the Phase Two prototypes are shipped out.
MARIA HILL,"Sir, is that really a priority right now? "
FURY,Until such time as the world ends we will act as though it intends to spin on. Clear out the tech below. Every piece of Phase Two on a truck and gone.
MARIA HILL,"Yes, Sir. With me."
FURY,"Talk to me, Doctor. "
SELVIG,Director.
FURY,Is there anything we know for certain?
SELVIG,The Tesseract is misbehaving.
FURY,Is that supposed to be funny?
SELVIG,"No, it’s not funny at all. The Tesseract is not only active, she’s misbehaving. "
FURY,How soon can you pull the plug?
SELVIG,"She’s an energy source. We turn off the power, she turns it back on. If she reaches peak level- "
FURY,"We prepared for this, Doctor. Harnessing energy from space. "
SELVIG,"We don’t have the harness. My calculations are far from complete. She’s throwing off interference, radiation. Nothing harmful, low levels of Gamma radiation. "
FURY,That can be harmful. Where’s agent Barton?
SELVIG,"The hawk? Up in his nest, as usual."
FURY,Agent Barton. Report.
FURY,I gave you this detail so you could keep a close eye on things.
BARTON,I see better from a distance.
FURY,Have you seen anything that might set this thing off?
NASA SCIENTIST,Doctor! It’s spiking again.
BARTON,"No one’s come and gone. And Selvig’s clean. No contacts, no IM. If there’s any tampering, sir, it wasn’t this end."
FURY,At this end?
BARTON,"Yeah. The Cube is a doorway to the other end of space, right? Doors open from both sides."
SELVIG,What’s that?
