character,line
SON,Baba?
FATHER,"Yes, my son?"
SON,Tell me a story.
FATHER,Which one?
SON,The story of home.
FATHER,"Millions of years ago, a meteorite made of vibranium, the strongest substance in the universe struck the continent of Africa affecting the plant life around it."
FATHER,"And when the time of man came, five tribes settled on it and called it Wakanda. The tribes lived in constant war with each other until a warrior shaman received a vision from the Panther goddess Bast who led him to the Heart Shaped Herb, a plant that granted him super human strength, speed, and instincts."
FATHER,"The warrior became King and the first Black Panther, the protector of Wakanda."
FATHER,"Four tribes agreed to live under the King's rule, but the Jabari tribe isolated themselves in the mountains."
FATHER,"The Wakandans used vibranium to develop technology more advanced than any other nation, but as Wakanda thrived the world around it descended further into chaos."
FATHER,"To keep vibranium safe, the Wakandans vowed to hide in plain sight, keeping the truth of their power from the outside world."
SON,And we still hide Baba?
FATHER,Yes.
SON,Why?
N'JOBU,"Hey look, if we get in and out quick won't be any worries. You in the van come in through from the west, come around the corner, land right here. Me and the twins pulling up right here, we leavin' this car behind, ok? We coming..."
N'JOBU,Hide the straps.
JAMES,Is it the Feds?
N'JOBU,No.
JAMES,It's two Grace Jones looking chicks... they're holding spears...
N'JOBU,Open it.
JAMES,You serious?
N'JOBU,They won't knock again.
DORA MILAJE 1,Who are you?
N'JOBU,"Prince N'Jobu, son of Azzuri."
DORA MILAJE 1,Prove to me you are one of us.
N'JOBU,My King...
YOUNG T'CHAKA,Leave us.
N'JOBU,"This is James. I trust him with my life. He stays, with your permission, King T'Chaka."
YOUNG T' CHAKA,As you wish. At ease…
YOUNG T' CHAKA,Come baby brother.  Let me see how you're holding up.
YOUNG T'CHAKA,You look strong.
N'JOBU,Glory to Bast. I am in good health. How is home?
YOUNG T'CHAKA,"Not so good, baby brother. There has been an attack."
YOUNG T'CHAKA,"This man, Ulysses Klaue, stole a quarter ton of vibraniurn from us and triggered a bomb at the border to escape. Many lives were lost. He knew where we hid the vibranium, and how to strike."
YOUNG T'CHAKA,He had someone on the inside.
N'JOBU,Why are you here?
YOUNG T'CHAKA,Because I want you look me in the eyes and tell me why you betrayed Wakanda.
N' JOBU,I did no such thing.
YOUNG T' CHAKA,Tell him who you are.
JAMES,"Zuri, Son of Badu."
N'JOBU,What?
N'JOBU,"James, James you lied to me? I invite you into my home and you were Wakandan this whole time?"
JAMES,You betrayed Wakanda!
N'JOBU,How could you lie to me like -
YOUNG T'CHAKA,Stand down. Did you think that you were the only spy we sent here?
YOUNG T'CHAKA,"Prince N'Jobu, you will return home at once, where you will face the council and inform them of your crimes."
BBC ANCHOR,"The tiny nation of Wakanda is mourning the death of its monarch, King T'Chaka. The beloved ruler was one of many confirmed dead after a terrorist attack at the United Nations a week ago. The Suspect has since been apprehended."
BBC ANCHOR,"Though it remains one of the poorest countries in the world, fortified by mountain ranges and an impenetrable rain forest, Wakanda does not engage in international trade or accept aid. The succession of the throne is expected to fall to the oldest of the King's two children, Prince T'Challa."
OKOYE,"My Prince, coming up on them now."
T'CHALLA,"No need, Okoye. I can handle this alone."
T'CHALLA,I will get Nakia out as quickly as possible.
OKOYE,Just don't freeze when you see her.
T'CHALLA,What are you talking about? I never freeze.
MILITANT LEADER,Defense position!
CARGO TRUCK MILITANT,No games.
MILITANT LEADER,What do you see?
