character,line
YON-ROGG,Do you know what time it is?
VERS,Can't sleep.
YON-ROGG,There are tabs for that.
VERS,"Yeah, but then I'd be sleeping."
YON-ROGG,Dreams again?
VERS,Wanna fight?
VERS,I slipped.
YON-ROGG,Right. You slipped as a result of me punching you in the face.
VERS,I was already slipping when you happened to punch me in the face. The two events are not related.
YON-ROGG,Tell me about this dream.
YON-ROGG,Anything new?
VERS,No.
YON-ROGG,You've got to let go of your past.
CVERS,I don't remember my past.
YON-ROGG,"It's causing you doubt, and doubt makes you vulnerable."
YON-ROGG,Control it.
YON-ROGG,Lose control again and you'll have to convene with the Supreme Intelligence. There is nothing more dangerous to a warrior than emotion.
YON-ROGG,Humor is a distraction. And anger? Anger only serves the enemy.
ELECTRONIC VOICE-OVER,120 days since the last Skrull attack.
VERS,Has anybody seen what the Supreme Intelligence really looks like?
YON-ROGG,"No-one can look upon the Supreme Intelligence in its true form. You know that. Our subconscious chooses the way they appear to us. So it's sacred, it's personal. The Kree divulges it ever."
VERS,Who do you see? Your brother?
YON-ROGG,No.
VERS,Father?
YON-ROGG,No
VERS,Your old commander?
YON-ROGG,Vers...
VERS,"It's me you see, isn't it?"
YON-ROGG,I see what you're trying to do.
VERS,Is it working?
YON-ROGG,Yes. But you won't succeed in changing my mind on the subject.
VERS,What is the point of giving me these  if you don't want me to use them?
YON-ROGG,You're going to use them. The Supreme Intelligence made me the responsibility of showing you how to use them.
VERS,I know how.
YON-ROGG,"Well if that were true, you'd knock me down without them."
YON-ROGG,Control your impulses. Stop using this  and start using this . I need you to be the best version of yourself.
SUPREME INTELLIGENCE,Vers.
VERS,Intelligence.
SUPREME INTELLIGENCE,Your commander insists that you're fit to serve.
VERS,I am.
SUPREME INTELLIGENCE,"You struggle with your emotions, with your past which fuels them."
SUPREME INTELLIGENCE,You are just one victim of the Skrull expansion that has threatened our civilisation for centuries. Imposters who silently infiltrate then take over our planets.
SUPREME INTELLIGENCE,Horrors which you remember and so much which you do not.
VERS,It's all... blank. My life. You're supposed to take the form of you I most admire but I don't even remember who this person was to me.
SUPREME INTELLIGENCE,"Perhaps this is a mercy, sparing you from a deeper pain. Freeing you to do what all Kree must. Put your people's needs before your own. We've given you a great gift, a chance to fight for the good of all Kree."
VERS,I want to serve.
SUPREME INTELLIGENCE,Then master yourself; what was given can be taken away.
VERS,I won't let you down.
SUPREME INTELLIGENCE,We'll know soon enough. You have a mission. Serve well and with honor.
ATT-LASS,This can't be good.
KORATH,It must be another Skrull attack.
BRON-CHAR,"Whatever it is, it's big."
MINN-ERVA,Has a Skrull ever simmed you?
KORATH,Once. It was deeply disturbing.
VERS,Why?
KORATH,Because I stared into the face of my mortal enemy and the face staring back was my own.
VERS,Well maybe if you were more attractive then it would be less disturbing.
KORATH,"You think you're funny, but I'm not laughing."
ATT-LASS,You never laugh.
KORATH,I laugh on the inside. I'm not doing it now.
BRON-CHAR,"It's funny cause objectively speaking, you're quite handsome."
KORATH,Well thank you.
YON-ROGG,Listen up team! Knock it off.
YON-ROGG,"Alright, prepare for a search and rescue of our spy, Soh-Larr. The Skrulls have invaded yet another border planet, this time Torfa. Soh-Larr sent a warning signal, which we've intercepted, that his cover's blown. The Skrull General Talos has sent kill units to find him. Should they reach him before we do, the intelligence he has acquired over three years is as good as theirs. The accusors will bomb a Skrull stronghold here in the south. We slip in, we locate Soh-Larr and we get out, leaving them none the wiser. The Torfa populace; we are not to interfere with them nor them with us. Nothing compromises the security of our mission. Proceed with caution. Follow protocol before extracting him."
