character,line
MEREDITH,Do do do do do do do do do do do!
MYSTERIOUS MAN,"This way, my river lily. "
MEREDITH,Where are you taking me?
MEREDITH,Oh. It’s beautiful.
MYSTERIOUS MAN,"I was afraid it wouldn’t take to the soil, but it rooted quickly."
MYSTERIOUS MAN,"Soon it will be everywhere - all across the universe, fulfilling life’s one true purpose. "
MEREDITH,Which is what?
MYSTERIOUS MAN,Expansion.
MEREDITH,I’m not sure what you’re talking about. But I like the way you say it.
MYSTERIOUS MAN,"My heart is yours, Meredith Quill. "
MEREDITH,I can’t believe I fell in love with a spaceman.
QUILL,"Showtime, a-holes! It’ll be here any minute! "
GAMORA,Which will be its loss.
QUILL,Is that a rifle?
GAMORA,You don’t know what a rifle is?
QUILL,I thought your thing was a sword.
GAMORA,"We’ve been hired to stop an interdimensional beast from feeding on those batteries’ energy, and I’m going to stop it with a sword? "
QUILL,Don’t look at me like I’m stupid. You’re the one being all inconsistent.
GAMORA,"Drax, why aren’t you wearing one of Rocket’s aero-rigs? "
DRAX,It hurts.
GAMORA,Hurts?
DRAX,I have sensitive nipples.
DRAX,What about him?! What’s he doing?!
ROCKET,"If I finish this, we can listen to tunes while we work. "
DRAX,How is that a priority?
ROCKET,Blame Quill! He’s the one who loves music so much!
QUILL,I agree with Drax. It’s hardly important right now.
ROCKET,"Oh, sure, okayyyy, Quill."
QUILL,"No, I really agree with him. "
ROCKET,"Sure, I know."
DRAX,I can clearly see you winking.
ROCKET,Damn. I’m using my left eye?
GROOT,I am Groot.
ROCKET,They were not looking at you funny.
ROCKET,Well. That’s intense.
QUILL,"Groot, look - !"
GAMORA,"Get out of the way, Groot! You’re going to get hurt!"
GAMORA,Hi.
ROCKET,Spit it out! Spit it out!
ROCKET,Disgusting.
DRAX,The beast’s hide is too thick to be pierced from the outside. I must cut through it from the inside.
GAMORA,Huh?
GAMORA,"Drax, no! That doesn’t make -"
QUILL,What is he doing?!
GAMORA,"He said the skin is too thick to be pierced from the outside, so he -- "
QUILL,That doesn’t make sense!
GAMORA,I tried to tell -- !
QUILL,Its skin is the same thickness from the inside as from the out!
GAMORA,I REALIZE THAT.
QUILL,"Gamora, there’s a cut on its neck - Rocket, get it to look up."
QUILL,"Hey, you giant Sea Monkey, up here!"
DRAX,Ha ha! I have single-handedly vanquished the beast!
DRAX,What?
DRAX,What are they called again?
QUILL,Anulax batteries.
DRAX,Harbulary batteries.
QUILL,That’s nothing like what I just said. But they’re worth thousands of units a piece. Which is why the Sovereign hired us to protect them.
QUILL,Just be careful what you say around these folks. They’re easily offended and the cost of transgression is death.
DRAX,Sounds judgmental for a bunch of golden morons.
QUILL,That’s the kind of thing you might want to keep to yourself.
GAMORA,"I’ll hold my tongue, as long as they deliver what was promised."
AYESHA,"We thank you, Guardians, for putting your life on the line. We could not risk the lives of our own Sovereign citizens."
AYESHA,"Every citizen is born exactly as designed by the community, impeccable, both physically and mentally. We control the DNA of our progeny, germinating them in birthing pods. "
QUILL,I guess I prefer making people the old-fashioned way.
AYESHA,Well... perhaps someday you could give me a history lesson in the archaic ways of our ancestors... for academic purposes.
QUILL,"Yeah, I mean, if it’s for research that could be pretty --"
QUILL,Pretty repulsive. I’m not into that kind of casual -
GAMORA,"Oh, please. Your people promised something in trade for our services.  Bring it and we shall gladly be on our way."
QUILL,Family reunion. Yaaaay.
AYESHA,I understand she is your sister?
GAMORA,She’s worth no more to me than the bounty due for her on Xandar.
AYESHA,Our soldiers apprehended her attempting to steal the batteries. Do with her as you please.
QUILL,"Thank you, High Priestess Ayesha."
AYESHA,"What is your heritage, Mr. Quill?"
QUILL,My mother is from earth.
AYESHA,And your father?
QUILL,"He’s... not from Missouri, that’s all I know."
AYESHA,"I see it within you, an unorthodox genealogy. A hybrid that seems particularly... reckless."
ROCKET,"You know, they told me you people were conceited douchebags. But that isn’t true at all."
ROCKET,"Oh, shit, I’m using my wrong eye again, aren’t I? I’m sorry. That was meant to be behind your back."
DRAX,Count yourself blessed they didn’t kill you.
ROCKET,You’re telling me. You wanna buy some batteries?
ROCKET,Let’s get baldy back to Xandar and retrieve that bounty!
GAMORA,You all right?
QUILL,That stuff about my father. Who does she think she is?
GAMORA,I know you’re sensitive about that.
QUILL,I’m not sensitive about it. I just don’t know who he is.
QUILL,Sorry if it looked like I was flirting with her. I wasn’t.
GAMORA,I don’t care if you were.
QUILL,I think you do care. That’s why I’m apologizing.
DRAX,"Gamora is not the one for you, Quill."
DRAX,"There are two types of beings in the universe. Those who dance, and those who do not. "
QUILL,Uh huh.
DRAX,"I first met my beloved at a war rally. Everyone in the village flailed about, dancing. Except one woman. My Ovette. I knew immediately she was the one."
DRAX,"The most melodic song in the world could be playing, and she wouldn’t even tap her foot. She wouldn’t move a muscle. One might assume she was dead. "
QUILL,"Well, that is pretty hot, but-- "
DRAX,It would make my nether regions engorge -
QUILL,"All right, okay, fascinating, don’t need to hear it.  I get your point, I’m a dancer and Gamora is not."
DRAX,"You just need to find a woman who is pathetic, like you."
NEBULA,I am hungry. Hand me some of that yaro root.
GAMORA,No. It’s not ripe yet. And I hate you.
NEBULA,"You hate me?! You left me there while you stole that stone for yourself. Yet here you stand, a hero, a Garden of the Galaxy! "
GAMORA,A what?
GAMORA,‘Guardians of the Galaxy.’
NEBULA,Oh.
GAMORA,Why would we be ‘the Gardens of the Galaxy’?
NEBULA,I don’t know. I thought it was stupid.
GAMORA,"Yeah, it would be. "
NEBULA,It’s still wordy.
GAMORA,I wasn’t the one who thought of it.
NEBULA,"Your name doesn’t matter. I’ll be free of these shackles soon enough, and I’ll kill you, I swear. "
GAMORA,"No. You’ll live out your days in a prison on Xandar, wishing you could."
QUILL,"We got an armed Sovereign fleet, approaching from the rear."
GAMORA,Why would they do that?!
DRAX,Probably because Rocket stole some of their batteries.
ROCKET,Dude.
DRAX,"Oh, right.  He didn’t steal one of those. I don’t know why they’re after us. What a mystery this is."
QUILL,What were you thinking?!
ROCKET,"Dude, it was really easy to steal. "
GAMORA,That’s your defense?
ROCKET,Come on. You saw how that high- priestess talked down to us! I’m teaching her a lesson!
QUILL,Oh! I didn’t realize your motivation was altruism. A shame the Sovereign have mistaken your intentions and are trying to kill us.
ROCKET,Exactly.
QUILL,I WAS BEING SARCASTIC!
ROCKET,Oh no! You tricked me! You’re supposed to use a sarcastic voice! Now I look foolish!
QUILL,"SHUT UP, DRAX! You knew! You should have told us!"
DRAX,Did you tell him it was easy to steal?
ROCKET,Are you kidding me?
DRAX,What?
ROCKET,You never listen to anything!
GAMORA,None of you listens! Can we please just put the bickering on hold until after we survive the massive space battle?!
ROCKET,Whoa. Somebody woke up on the wrong side of the bed this morning.
QUILL,"Do not try to bro down with me right now, dude.  I will fricking punch you in your fricking face. "
ROCKET,Real nice! Resorting to violence.
QUILL,More incoming!
ROCKET,GOOD! I WANT TO KILL SOME GUYS!
SOVEREIGN PILOT,Bloody hell!
GAMORA,You’re not killing anyone. Those ships are all remotely piloted.
AYESHA,"What is the delay, Admiral? "
ADMIRAL,"High Priestess, if we destroy their craft, we risk destroying the batteries. They’re extraordinarily combustible and could, in turn, destroy the entire fleet. "
AYESHA,We have thousands of batteries and thousands of ships. Our concern is their slight against our people. We hired them and they steal from us? It is heresy of the highest order.
ADMIRAL,All command modules -
ADMIRAL,Fire with the intent to kill.
QUILL,What’s the closest habitable planet?
GAMORA,It’s called Berhert.
QUILL,How many jumps?
GAMORA,Only one. But the access point is 47 clicks away. And it’s through that Quantum Asteroid Field over there.
DRAX,"Quill, to make it through that, you’d have to be the greatest pilot in the universe."
QUILL,Lucky for us -
ROCKET,I am.
ROCKET,What are you doing?!
QUILL,I’ve been flying this rig since I was ten years old.
ROCKET,I was cybernetically engineered to pilot a spacecraft!
QUILL,You were cybernetically engineered to be a douchebag.
GAMORA,Stop it!
ROCKET,"Quill, later on tonight you’re gonna lay down in your bed and there’s gonna be something squishy in your pillowcase and you’re gonna be, like, ‘what’s this?’ and it’s gonna be because I put a turd in there."
QUILL,"You put your turd in my bed, I shave you. "
ROCKET,"Oh it won’t be my turd, it will be Drax’s."
DRAX,I have famously huge turds.
GAMORA,"We’re about to die, and this is what we’re discussing? "
DRAX,They raise havoc with the pipes. That’s why I do all the plumbing. I take responsibility for my actions. Unlike some people...
QUILL,"Groot, he’s right, you have to start aiming inside the box."
GAMORA,Stop it.
NEBULA,Idiots!
ROCKET,"Well, that’s what you get when Quill flies."
ROCKET,Ow!
GAMORA,There’s still a Sovereign craft behind us!
QUILL,Our weapons are down!
GAMORA,Twenty clicks to the jump.
QUILL,Where’s he going?
FRIGHTENED PILOT,"Come on, Zylak, you can do this."
DRAX,It’s not ripe.
GAMORA,Fifteen clicks.
GAMORA,Ten clicks.
DRAX,"Die, spaceship."
FRIGHTENED PILOT,"You suck, Zylak."
GAMORA,Five clicks!
QUILL,Son-of-a-! They went around the field!
ADMIRAL,Someone destroyed all the ships.
AYESHA,What?! WHO?!
ROCKET,What is that?!
QUILL,Doesn’t matter! That’s the jump point! GO! GO!
ROCKET,It’s a guy.
GAMORA,Oh my God.
QUILL,"Groot, put on your seat belt!"
QUILL,Prepare for a really bad -
DRAX,Ow! Ow! Ow! Ow!
DRAX,That was awesome.
GAMORA,"Either one of you could have gotten us through that field, if you had flown with what’s between your ears instead of what’s between your legs! "
QUILL,"If what’s between my legs had a hand on it, I guarantee I could have landed this ship. "
GAMORA,"It’s not funny, Peter. We almost died. Because of your arrogance. "
QUILL,More like because he stoled Anulax batteries!
DRAX,They’re called Harbulary batteries.
QUILL,"No, they’re not! "
ROCKET,"You know why I did it, Star-Munch?"
ROCKET,Do you?
QUILL,I’m not going to answer to ‘Star- Munch.’
ROCKET,I DID IT BECAUSE I WANTED TO.
QUILL,Dick.
ROCKET,What are we even talking about this for? We just had a little man save us by blowing up fifty ships!
DRAX,How little?
ROCKET,Like this.
GAMORA,A little one-inch man saved us?
ROCKET,"Well, if he got closer I’m sure he’d be much larger. "
QUILL,"That’s how eyes work, you stupid raccoon. "
ROCKET,Don’t call me a raccoon!
QUILL,"Oh, I’m sorry, I meant to say ‘trash panda.’"
ROCKET,Is that better?
DRAX,I don’t know.
QUILL,It’s worse.
ROCKET,YOU SON-OF-A-!!
NEBULA,Someone followed you through the jump point.
NEBULA,Set me free.  You’ll need my help.
GAMORA,"I’m not a fool, Nebula. "
NEBULA,You’re a fool if you deprive yourself a hand in combat.
GAMORA,You’ll attack me the moment I let you go.
NEBULA,"No, I won’t. "
QUILL,You’d think an evil supervillain would learn how to properly lie.
DRAX,I bet it’s the one-inch man!!
MYSTERIOUS MAN,"After all these years, I’ve found you. "
QUILL,Who the hell are you?
MYSTERIOUS MAN,"I figured my rugged good looks would make that obvious. My name’s Ego. And I’m your Dad, Peter."
TULLK,Yondu! Come on down!
STAKAR,"And I was like, Aleta, I love you, but you’re crazy now, you always been -"
YONDU,Stakar.
YONDU,Been some time. I’d -
STAKAR,Seems like this establishment is the wrong kind of disreputable.
YONDU,Stakar...
STAKAR,"There are a hundred Ravager factions, Sneeper. You just lost the business of ninety-nine by serving one. "
PROPRIETOR,"Please, sir! Sir!"
YONDU,You all can go to hell! I don’t care what you think of me!
STAKAR,Then why you following us for?!
YONDU,‘Cause you’ll listen to what I got to say!
STAKAR,I don’t got to listen to nothing! You betrayed the code! Ravagers don’t deal in kids!
YONDU,I didn’t know what was going on -
STAKAR,"You didn’t know ‘cause you didn’t want to know, ‘cause it made you rich! "
YONDU,I demand a seat at the table! I wear the flames same as you!
STAKAR,"You may dress like a Ravager but you won’t hear no Horns of Freedom when you die, boy, and the Colors of Ogord will not flash over your grave! You think I take some pleasure in exiling you, you’re wrong. You broke all our hearts."
MONSTROUS RAVAGER,"First Quill betrays us and Yondu just lets him go, scot-free. Now he’s getting all riled over nothing. We followed him ‘cause he was the one wasn’t afraid to do what needed to be done. Seems like he’s going soft. "
KRAGLIN,If he’s so soft why you whispering for?
MONSTROUS RAVAGER,"You know I’m right, Kraglin. "
TULLK,"You best watch what you say about the Cap’n, Tay - "
RETCH,Who the hell is that?!
AYESHA,"Yondu Udonta, I have a proposition for you."
EGO,"When your mother passed away, I hired Yondu to pick you up. "
EGO,"I would have done so myself, but I was in the midst of an outlandish adventure at the time, battling demonic forces to save this dimension or some such nonsense - I can’t quite recall, it all bleeds together after awhile. But instead of returning you, Yondu kept you. I have no clue as to why. "
QUILL,"Because I was a skinny kid who could squeeze into places adults couldn’t, making thieving easier. "
EGO,I’ve been trying to track you down ever since.
DRAX,I thought Yondu was your father.
QUILL,What?
QUILL,"We’ve been together all this time and you thought Yondu was my actual, blood relative? "
DRAX,You look exactly alike.
ROCKET,One’s blue.
QUILL,He wasn’t my father. Yondu was the guy who abducted me.  He’d beat the crap out of me so I’d learn how to fight and he kept me in terror threatening to eat me.
EGO,Eat you?!
QUILL,Yes.
EGO,That son-of-a-bitch.
GAMORA,How’d you locate us now?
EGO,"Even where I reside, out past the edge of what’s known, we’ve heard tell of the man they call Star- Lord."
EGO,"Say we head out that way now? Your associates are welcome, even that triangle-faced monkey there."
EGO,"I promise you, it’s like no place you’ve ever seen. And there I can explain your very special heritage, and finally be the father I’ve always wanted to be. ‘Scuse me. I gotta take a whizz."
QUILL,Not buying it.
GAMORA,"Peter, we need to take a walk."
MANTIS,I am Mantis.
DRAX,What are you doing?
MANTIS,Smiling. I hear it is the thing to do to make people like you.
DRAX,Not if you do it like that.
