character,line
TONY,"Oh, I get it.  You guys aren’t allowed to talk.  Is that it?  Are you not allowed to talk?"
JIMMY,No.  We’re allowed to talk.
TONY,Oh.  I see.  So it’s personal.
RAMIREZ,I think they’re intimidated.
TONY,"Good God, you’re a woman."
TONY,"I, honestly, I couldn’t have called that. I would apologize, but isn’t that what we’re going for here? I saw you as a soldier first. "
JIMMY,"I have a question, sir. "
TONY,Please.
JIMMY,Is it true you’re twelve for twelve with last years Maxim cover girls?
TONY,"Excellent question. Yes and no. March and I had a schedule conflict but, thankfully, the Christmas cover was twins.  Anyone else? You, with the hand up. "
PRATT,It’s a little embarrassing.
TONY,Join the club.
PRATT,Can I take a picture with you?
TONY,"Are you aware that Native Americans believe photographs steal a little piece of your soul?  Not to worry, mine’s long gone. Fire away."
PRATT,STAY HERE!
RHODEY,"GET DOWN, TONY.  GET THE --"
NARRATOR,"December 7, 1941: the day the world changed forever. President Roosevelt declares the United States will build fifty thousand planes to fight the armies of Hirohito and Hitler--"
NARRATOR,Although no such capacity to build existed...
NARRATOR,"Howard Stark, founder of the fledgling Stark Industries, answers his call to duty --"
NARRATOR,"And builds not fifty, but a hundred thousand planes."
NARRATOR,"Later, Stark’s work on the Manhattan project makes the end of the war possible."
NARRATOR,Stark Industries would go on to contribute to every major weapons system through the Cold War --
NARRATOR,But Howard Stark’s greatest achievement would come in 1973--
NARRATOR,"From early on, it was clear that Tony Stark had a unique gift--"
NARRATOR,"At seventeen he graduated summa cum laude from MIT.  Four years later, tragedy would pass the Stark mantle from father to son--"
NARRATOR,The loss of a titan.  But Tony did not let personal grief distract him from his duty --
NARRATOR,"At twenty-one, he became the youngest-ever CEO of a Fortune 500 company.  And with it came a new mandate --"
NARRATOR,"Smarter weapons, fewer casualties. A dedication to preserving life."
NARRATOR,Today Tony Stark’s ingenuity continues to protect freedom and American interest around the globe.
RHODEY,"As Program Manager and Liaison to Stark Industries, I’ve had the honor of serving with a real patriot, a man whose life has been dedicated to protecting our troops on the front lines.  He’s a friend. And a great mentor.  A man who has always been there for his friends and his country.  Ladies and gentlemen, this year’s ARES Award winner -- Mr. Tony Stark."
OBADIAH,"Thank you...I, uhhh, I’m not Tony Stark, but if I were Tony, I’d tell you how honored I am and...what a joy it is to receive this award. The best thing about Tony is also the worst thing -- he’s always working."
TONY,"...you think we’re having a ‘moment’ here, but this is actually the logical conclusion of several mathematical truisms. Your hypothalamus is flooding your system with a chain of proteins called peptides, so that every cell in your body is opening itself up to the happy chemical: oxytocin. "
WOMAN,That’s...wow....
TONY,Hold on a second --
