character,line
THOR,"Now I know what you’re thinking. Oh no!  Thor’s in a cage.  How did this happen? Well, sometimes you have to get captured just to get a straight answer out of somebody. It’s a long story but basically I'm a bit of a hero. See, I spent some time on earth, fought some robots, saved the planet a couple of times. Then I went searching through the cosmos for some magic, colorful Infinity Stone things... didn’t find any. That’s when I came across a path of death and destruction which led me all the way here into this cage... where I met you."
THOR,How much longer do you think we’ll be here?
SURTUR,"Thor, Son of Odin."
THOR,"Surtur.  Son of a bitch...you’re still alive!  I thought my father killed you, like, half a million years ago. "
SURTUR,I cannot die. Not until I fulfill my destiny and lay waste to your home.
THOR,"You know, it’s funny you should mention that because I’ve been having these terrible dreams of late.  Asgard up in flames, falling to ruins, and you Surtur are at the center of all of them. "
SURTUR,"Then you have seen Ragnarok, the fall of Asgard. The great prophecy-- "
THOR,Hang on.  Hang on.
THOR,I’ll be back around shortly.  I really feel like we were connecting there.
THOR,"Okay, so, Ragnarok. Tell me about that. Walk me through it. "
SURTUR,"My time has come. When my crown is reunited with the Eternal Flame, I shall be restored to my full might. I will tower over the mountains and bury my sword deep in Asgard’s-- "
THOR,"Oh, hang on.  Give it a second."
THOR,"I swear I’m not even moving, it’s just doing this on its own.  I’m really sorry. Okay, let me get this straight. You’re going to put your crown into the Eternal Flame, and then you’ll suddenly grow as big as a house-- "
SURTUR,A mountain!
THOR,The Eternal Flame that Odin keeps locked away on Asgard?
SURTUR,Odin is not on Asgard. And your absence has left the throne defenseless.
THOR,"Okay, so where is it? This crown? "
SURTUR,"This is my Crown, the source of my power."
THOR,"Oh, that’s a crown? I thought it was a big eyebrow. "
SURTUR,It’s a crown.
THOR,"Anyway, it sounds like all I have to do to stop Ragnarok is rip that thing off your head."
SURTUR,"But Ragnarok has already begun. You cannot stop it.  I am Asgard’s doom, and so are you.  All will suffer, all will burn."
THOR,"That’s intense.  To be honest, seeing you grow really big and set fire to a planet would be quite the spectacle.  But it looks like I’m going to have to go with option B where I bust out of these chains, knock that tiara off your head, and stash it away in Asgard’s vault. "
SURTUR,You cannot stop Ragnarok. Why fight it?
THOR,Because that’s what heroes do.
THOR,"Wait, sorry.  I didn’t time that right.  And, now!"
SURTUR,"You have made a grave mistake, Odinson."
THOR,I make grave mistakes all the time. Everything seems to work out.
THOR,"Heimdall. I know it’s been a while, but I could use a fast exit!"
THOR,...Heimdall?
SKURGE,"Heimdall was an idiot.  This job should have made him rich.  Now, the job ain’t easy, but it does have its benefits. The Bi-Frost gives me access to everything the Nine Realms have to offer. I mean it’s all mine for the taking. Behold...my stuff. "
SKURGE,"I’m particularly fond of these. I pulled ‘em out of a place on Midgard called Texas.  I even named them. Des and Troy.  You see, when you put them together...they destroy."
THOR,"Heimdall, come on."
THOR,Stay. I’m running short on--
THOR,-options.
THOR,Heimdall?
ASGARDIAN WOMAN,"Skurge, is that important?"
SKURGE,You girls are in for a treat.
SKURGE,"Girls! Well well, look who decided to pop in.  Thanks for scaring away my company and drenching my workplace in brains. "
THOR,Who are you?
SKURGE,Don’t you remember?  I’m Skurge. We fought together on Vanaheim.
THOR,Right.  Where’s Heimdall?
SKURGE,"That traitor.  No one knows, he’s a fugitive of the throne. "
THOR,Traitor?
SKURGE,"Yeah, you see, Odin charged Heimdall with negligence of duty, but he disappeared before the trial.  Hard to catch a guy who can see everything in the Universe."
THOR,Sure.
SKURGE,Hold on.  I’m supposed to announce your arrival.
THOR,What the hell is that?
ACTOR LOKI,"Oh, brother.  This is it.  I take my leave. "
ACTOR THOR,"You fool, you didn’t listen! "
ACTOR LOKI,I’m sorry.
ACTOR THOR,Lady Sif!  Get help!
ACTOR SIF,Somebody help!
ACTOR LOKI,Sorry for all I’ve done.
ACTOR THOR,It’s all right.   Hold on.
ACTOR LOKI,I’m sorry I tried to rule Earth.
ACTOR THOR,They’d be lucky to have you.
ACTOR LOKI,I’m sorry about that thing with the Tesseract.  I just couldn’t help myself.
ACTOR THOR,I know.
ACTOR LOKI,I’m a trickster.
ACTOR THOR,So mischievous.
ACTOR LOKI,Sorry about that time I turned you into a frog.
ACTOR THOR,It was a wonderful joke.
ODIN,Twas indeed hilarious.
ACTOR THOR,You are the savior of Asgard.
ACTOR LOKI,Tell my story.
ACTOR THOR,I will.
ACTOR LOKI,Build a statue for me.
ACTOR THOR,We will build a big statue for you.
ACTOR LOKI,"With my helmet on, with the big bendy horns. "
ACTOR THOR,I will tell Father what you did here today.
ACTOR LOKI,I didn’t do it for him.
ACTOR THOR,Noooooo!!!
ACTOR ODIN,"And so Loki died of his wounds, giving his life for ours.  He fought back those disgusting dark elves.  He brought peace to the realm."
ACTOR ODIN,"Loki, my boy...‘Twas many moons ago I found you on a frost-bitten battlefield."
