character,line
TOOMES,"Things are never gonna be the same now. I mean, look at this. You got aliens. You got big green guys tearing down buildings. When I was a kid, I used to draw cowboys and Indians."
MASON,"Actually, it's Native American, but whatever."
TOOMES,"Yeah. Tell you what, though. It ain't bad, is it?"
MASON,No. Yeah. Kid's got a future.
TOOMES,"Yeah, well... We'll see, I guess."
TOOMES,"No, hey! Uh-uh! You can't saw through that stuff. These alien bastards are tough. You gotta use the stuff they use."
TOOMES,See?
SCHULTZ,All right.
TOOMES,"All right.  Oh, hey! Glad you could join us. Afternoon."
BRICE,Yeah. My alarm didn't go off.
TOOMES,"Yeah, yeah, yeah, your alarm. Look, just go stack that armor plating like I asked you. This is a huge deal for us."
ANNE MARIE HOAG,"Attention, please! In accordance with Executive Order 396B, all post-battle cleanup operations are now under our jurisdiction. Thank you for your service. We'll take it from here."
TOOMES,Who the hell are you?
DODC AGENT,Qualified personnel.
TOOMES,"Look, I have a city contract to salvage all this, okay, with the city, so-"
ANNE MARIE HOAG,"I apologize, Mr. Toomes, but all salvage operations are now under our jurisdiction. Please turn over any and all exotic materials that you've collected, or you will be prosecuted."
TOOMES,"Ma'am, what am I- Please. Come here. Hey, lady, come on. Look... I bought trucks for this job. I brought in a whole new crew. These guys have a family. I have a family. I'm all in on this. I could lose my house."
ANNE MARIE HOAG,"I'm sorry, sir. There's nothing I can do."
DODC AGENT,"Maybe next time, don't over extend yourself."
TOOMES,What'd you say?
TOOMES,"Yeah, he's right. I overextended myself."
WORKER,Don't do it.
ANNE MARIE HOAG,Put them down.
ANNE MARIE HOAG,"If you have a grievance, you may take it up with my superiors."
TOOMES,Your superiors. Who the hell are they?
NEWS ANCHOR,"A joint venture between Stark Industries and the federal government, the Department of Damage Control will oversee the collection and storage of alien and other exotic materials."
SCHULTZ,So now the assholes who made this mess are being paid to clean it up.
MASON,"Yeah, it’s all rigged."
NEWS ANCHOR,Experts estimate there are over fifteen hundred tons of exotic material scattered throughout the tri-state area.
WORKER,"Hey, chief! We still have another load from yesterday. We’re supposed to turn this in, right?"
BRICE,I ain’t hauling it.
MASON,It’s too bad. We could have made some pretty cool stuff from all that alien junk.
TOOMES,"I tell you what, let’s keep it. The world’s changing."
TOOMES,"It’s time we change, too."
TOOMES,"There you go, Mason."
TOOMES,Business is good.
PETER,"New York. Queens. It’s a rough borough, but hey, it’s home."
HAPPY,Who are you talking to?
PETER,No one. Just making a little video of the trip.
HAPPY,You know you can’t show it to anyone.
PETER,"Yeah, I know."
HAPPY,Then why are you narrating in that voice?
PETER,Uh... Because it’s fun.
HAPPY,Fun.
PETER,"So, uh, why do they call you Happy?"
HAPPY,Come on. I’m not carrying your bags. Let’s go.
PETER,"Hey, should I go to the bathroom before?"
HAPPY,There’s a bathroom on it.
PETER,Whoa. No pilot? That’s awesome.
HAPPY,Is that where you’re gonna sit?
PETER,Yeah.
HAPPY,This is your first time on a private plane?
PETER,My first time on any plane.
PETER,Should it...? Should it be...? Should it be making that noise?
PETER,Shh.
PETER,No one has actually told me why I’m in Berlin or what I’m doing. Something about Captain America going crazy.
HAPPY,This is you.
PETER,"Oh, we’re neighbors?"
HAPPY,We’re not roommates. Suit up.
PETER,"Okay, Peter, you got this. You got this."
HAPPY,What the hell are you wearing?
PETER,It’s my suit.
HAPPY,Where’s the case?
PETER,What case? That’s not my...
PETER,What? I thought that was a closet. This is still my room?
HAPPY,Go. Please.
PETER,My room is way bigger than...
HAPPY,There.
