character,line
JANE,Hurry!
JANE,Oh-- watch your head.
SELVIG,"Thanks. So what's this ""anomaly"" of yours supposed to look like? "
JANE,"It's a little different each time. Once it looked like, I don't know, melted stars, pooling in a corner of the sky. But last week it was a rolling rainbow ribbon-- "
SELVIG,"Racing ˜round Orion?"" I've always said you should have been a poet."
JANE,"Hey, Darcy. Pass up the bubbly and my gloves, will you?"
JANE,Not until you see it!
SELVIG,I recognize those. Think how proud he'd be to see you now.
JANE,Thank you.
SELVIG,For what?
JANE,The benefit of the doubt.
JANE,It's never taken this long before.
DARCY,Can I turn on the radio?
JANE,"Sure, if you like rocking out to KFRM, ""All agriculture, all the time."""
JANE,The anomalies are always precipitated by geomagnetic storms.
JANE,The last seventeen occurrences have been predictable to the minute... I just don't understand.
DARCY,Jane? 
JANE,There's got to be some new variable... Or an equipment malfunction...
DARCY,I don't think there's anything wrong with your equipment...
DARCY,Jane?
JANE,What?!
DARCY,I think you want to see this.
JANE,Holy. Shatner.
SELVIG,"That's your ""subtle"" aurora?! "
JANE,No-- yes! Let's go!
JANE,Isn't this great?!
JANE,"You're seeing it too, right? I'm not crazy? "
SELVIG,That's debateable. Put your seat belt on!
JANE,You've gotta get us closer so I can take a magnetic reading.
DARCY,"Yeah, right! Good one! Oh God, you're serious... "
JANE,You want those college credits or not?
DARCY,Keep the credits. I'll intern at Burger King.
JANE,What are you doing?!
DARCY,Saving our lives!
DARCY,I think that was legally your fault.
JANE,Get the first aid kit.
JANE,"Come on, big guy. Do me a favor and don't be dead, okay? Open your eyes and look at me. "
DARCY,Wow. Does he need CPR? Because I know CPR.
JANE,HIS EYES--
DARCY,--are beautiful.
JANE,--are dilating. That's a good sign.
SELVIG,We still have to get him to a hospital.
JANE,After we get a reading on the storm?
SELVIG,"Immediately, Jane."
JANE,Where did he come from?
HEIMDALL,"Questions, they've always asked questions -- this race called man, on this planet they call earth. Passionately longing to know how they are connected to the heavens."
HEIMDALL,"In ages past, they looked to us as gods, for indeed so many times we saved them from calamity. We tried to show them how their world was but one of the Nine Realms of the Cosmos, linked to all others by the branches of Yggdrasil..."
HEIMDALL,"...the Worlds Tree. Nine Realms in a universe of wonder, beauty, and terror that they barely comprehended."
HEIMDALL,"But for all their thirst for knowledge, they let our lessons fall into myth and dreams. Where did he come from? He came from us, the proudest race of warriors the Worlds have ever seen. He came from this -- the greatest Realm the universe has ever known."
HEIMDALL,He came... from Asgard!
ODIN,Do you think he's ready?
FRIGGA,He thinks he is. He has his father's confidence.
ODIN,He'll need his father's wisdom.
FRIGGA,And his humility?
FRIGGA,Thor won't be alone. Loki will be at his side to give him counsel. Have faith in your sons.
ODIN,"Yes, but Thor's still a boy. He could be a great King..."
ODIN,...if we only had more time.
FRIGGA,"For once, our son needs something we cannot provide. "
ODIN,I can fight it a little longer...
FRIGGA,No. You've put it off too long! I worry for you.
ODIN,"I've destroyed demons and monsters, devastated whole worlds, laid waste to mighty kingdoms, and still you worry for me? "
FRIGGA,Always.
ODIN,Not today. Now come kiss your king... while I'm still king.
THOR,Another!
LOKI,"Nervous, brother? "
THOR,Have you ever known me to be nervous?
LOKI,There was the time in Nornheim...
THOR,"That wasn't nerves, brother. It was the rage of battle. How else could I have fought my way through a hundred warriors and pulled us out alive?"
LOKI,"As I recall, I was the one who veiled us in smoke to ease our escape. "
THOR,"Some do battle, others just do tricks."
THOR,Loki... 
THOR,Now that was just a waste of good wine.
LOKI,"Just a bit of fun. Right, my friend?"
LOKI,Nice feathers.
THOR,"You don't really want to start this again, do you, Cow? "
LOKI,I was being sincere!
THOR,You're incapable of sincerity.
LOKI,Am I?
LOKI,"I've looked forward to this day as long as you have. You're my brother and my friend. Sometimes I'm envious, but never doubt that I love you."
THOR,Thank you.
LOKI,Give us a kiss.
THOR,Stop.
THOR,How do I look?
LOKI,Like a king.
LOKI,It's time.
THOR,You go ahead.
THOR,I'll be along. Go on.
FANDRAL,"Thank you, love. "
FANDRAL,Now who'd like to polish my sword for me?
SIF,I'll miss you.
VOLSTAGG,I hope this goes quickly. I'm famished.
FANDRAL,Noooo!
VOLSTAGG,"Are you attached to that pretty face of yours? Because one more word, and you won't be. "
FANDRAL,"My, we are hungry, aren't we?"
FANDRAL,"Go on, Hogun. Smile. You can do it. Even you, Hogun the Grim. Just one smile."
FANDRAL,"All right, half a smile. Look, forget the smile, just show some teeth. "
SIF,"Fandral, is it true the famous Warriors Three are ready to meet any challenge? "
FANDRAL,"Name it, Lady Sif. "
SIF,Keep your mouth shut.
FRIGGA,It's all right to be nervous.
THOR,Why does everyone keep saying that? I'm not nervous!
FRIGGA,You may be able to fool the rest of ASGARD --
THOR,...but never you. I know.
FRIGGA,"Thor, just remember that you have something even the great Allfather never had. "
THOR,And what is that?
FRIGGA,Me for a mother.
FRIGGA,Now don't keep your father waiting.
VOLSTAGG,Where is he?
LOKI,He said he'd be along.
VOLSTAGG,What?
SIF,He wants to make an entrance.
FANDRAL,"Well, if he doesn't show up soon, he shouldn't bother."
LOKI,I wouldn't worry. Father will forgive him. He always does.
SIF,"Oh, please."
ODIN,"Gungnir. Its aim is true, its power strong. With it I have defended Asgard and the lives of the innocent across the Nine Realms since the time of the Great Beginning. And though the day has come for a new King to wield his own weapon -- that duty remains the same. Thor Odinson, my heir, my first-born. "
ODIN,"So long entrusted with this mighty hammer, Mjolnir. Forged in the heart of a dying star, from the sacred metal of Uru. Only one may lift it. Only one is worthy. Who wields this hammer commands the lightning and the storm. Its power has no equal -- as a weapon, to destroy, or as a tool, to build. It is a fit companion for a King."
ODIN,"Today I entrust you with the greatest honor in all the Nine Realms. The sacred throne of Asgard. I have sacrificed much to achieve peace. So, too, must a new generation sacrifice to maintain that peace. Responsibility, duty, honor. These are not merely virtues to which we must aspire. They are essential to every soldier and to every King."
ODIN,"Thor Odinson, do you swear to guard the Nine Realms? "
THOR,I swear.
ODIN,Do you swear to preserve the peace?
THOR,I swear.
ODIN,Do you swear to cast aside all selfish ambition and pledge yourself only to the good of all the Realms?
THOR,I swear.
ODIN,"Then on this day, I, Odin Allfather, proclaim you--"
ODIN,Frost giants...
SIF,The Destroyer.
VOLSTAGG,I thought it was but a legend.
FANDRAL,I've never been inside the Vault before. It's said the Tesseract was once held here.
VOLSTAGG,The Tesseract? I thought that was but a legend too!
SIF,Shush!
THOR,The Jotuns must pay for what they've done!
ODIN,"They have paid with their lives. The Destroyer did its job, and the Casket is safe. All is well. "
THOR,All is well?! They broke into the Weapons Vault! If the Frost Giants had stolen even one of these RELICS--
ODIN,But they didn't.
THOR,I want to know why they--
ODIN,The Casket of Ancient Winters belonged to the Jotuns. They believe it's their birthright.
THOR,And if you hadn't taken it from them they would have laid waste to all the Nine Realms!
ODIN,"I have a truce with Laufey, the Jotun King. "
THOR,He just broke your truce! We must act!
ODIN,Leave us.
ODIN,And what action would you take?
THOR,"March into Jotunheim as you once did, teach them a lesson, break their spirits so they'll never dare try to cross our borders again! "
ODIN,You're thinking only as a warrior!
THOR,This was an act of war!
ODIN,"It was the act of but a few, doomed to fail. "
THOR,They got this far!
ODIN,"We will find the breach in our defenses. It will be found, and it will be sealed. "
THOR,"As King of Asgard, I would-- "
ODIN,You are not King. Not yet.
SIF,"Redecorating, are we?"
VOLSTAGG,What's this -- ?!
HOGUN,I told you they'd cancel it.
FANDRAL,We thought that was just you being your normal cheery self.
VOLSTAGG,"All this food -- so innocent, cast to the ground. It breaks the heart!"
THOR,"It's unwise to be in my company right now, brother. "
LOKI,Who said I was wise?
THOR,This was to be my day of triumph.
LOKI,"It will come. In time. If it's any consolation, I think you're right. About the Frost Giants, about Laufey, everything. If a few of them could penetrate the defenses of Asgard once, who's to say they won't try again. Next time with an army? "
THOR,"Yes, exactly! "
LOKI,But there's nothing we can do without defying Father.
LOKI,No... stop there! I know that look!
THOR,It's the only way to ensure the safety of our borders.
LOKI,It's madness!
VOLSTAGG,Madness? What sort of madness?
LOKI,Nothing! Thor was making a jest!
THOR,The safety of our Realm is no jest. We're going to Jotunheim.
FANDRAL,What?!
SIF,"Thor, of all the laws of Asgard, this is one you must not break."
FANDRAL,"This isn't like a journey to Earth, where you summon a little lightning and thunder and the mortals worship you as a god. This is Jotunheim. "
VOLSTAGG,"And if the Frost Giants don't kill you, your Father will! "
THOR,"My father fought his way into Jotunheim, defeated their armies, and took their Casket! We'd just be looking for answers. "
SIF,It is forbidden! 
THOR,"My friends, have you forgotten all that we've done together?"
THOR,Who brought you into the sweet embrace of the most exotic maidens in all of Yggdrasil?
FANDRAL,You did.
THOR,"Who led you into the most glorious of battles... ...and to delicacies so succulent, you thought you'd died and gone to Valhalla? "
VOLSTAGG / HOGUN,You did.
THOR,And who proved wrong all who scoffed at the idea that a young maiden could be one of the fiercest warriors this Realm has ever known?
SIF,I did.
THOR,"True. But I supported you... My friends, trust me now. We must do this."
THOR,"Come on. You're not going to let my brother and me take all the glory, are you?"
LOKI,What?
THOR,You are coming with me...
LOKI,"Yes, of course! I won't let my brother march into Jotunheim alone. I will be at his side. "
VOLSTAGG,And I.
FANDRAL,And I.
HOGUN,And I. The Warriors Three fight together.
SIF,I fear we'll live to regret this.
VOLSTAGG,If we're lucky.
THOR,We must first find a way to get past Heimdall.
VOLSTAGG,That will be no easy task. It's said the Gatekeeper can see a single dew drop fall from a blade of grass a thousand worlds away.
FANDRAL,And he can hear a cricket passing gas in Niffelheim.
VOLSTAGG,Jest not! He heareth all!
FANDRAL,"Please. Getting past him should be simple enough now, since he seems to be letting Frost Giants sneak by under his nose."
VOLSTAGG,Forgive him! He meaneth no offense!
LOKI,"Keep your weapons sheathed and your mouths closed. This is going to take subtlety and sincerity, not brute strength. Leave it to me."
LOKI,GOOD HEIMDALL--
HEIMDALL,You're not dressed warmly enough.
LOKI,I'm sorry?
HEIMDALL,"The freezing cold of Jotunheim. It will kill you all in time, even Thor. You think you can deceive me? I, who watch all? I, who can sense the flapping of a butterfly's wings a thousand worlds away?"
HEIMDALL,Or can hear a cricket passing gas in Niffelheim?
FANDRAL,"That was just a bit of a jest, really..."
LOKI,You must be mistaken. We're not--
THOR,"Enough. Heimdall, may we pass?"
HEIMDALL,"For ages have I guarded Asgard and kept it safe from those who would do it harm. In all that time, never has an enemy slipped by my watch -- until this day. I wish to know how that happened. "
THOR,Then tell no one where we've gone until we've returned.
VOLSTAGG,What happened? Your silver tongue turn to lead?
LOKI,Get me off this bridge before it cracks under your girth.
HEIMDALL,"Be warned. I will honor my sworn oath to protect this Realm as its Gatekeeper. If your return threatens the safety of Asgard, Bifrost will remain closed to you. You'll be left to die in the cold wastes of Jotunheim. "
THOR,I have no plans to die today.
HEIMDALL,None do.
HEIMDALL,All is ready. You may pass.
VOLSTAGG,Couldn't you just leave the bridge open for us?
HEIMDALL,To keep this bridge open would unleash the full power of the Bifrost and destroy Jotunheim with you upon it.
VOLSTAGG,"Ah. Never mind, then."
THOR,Come on. Don't be bashful.
THOR,"Come on, big fella. Up...!"
VOLSTAGG,This belt! This belt is now my lucky belt! I will never remove it! Even when bathing!
FANDRAL,You bathe?
HOGUN,We shouldn't be here.
THOR,Too late now.
FANDRAL,"Actually, it's not. We could turn right around, hop back to Asgard, share a mug by the fire. Could be nice."
LOKI,Perhaps we should wait.
THOR,For what?
LOKI,To survey the enemy. To gauge their strengths and weaknesses from a distance.
VOLSTAGG,"I'm liking that. Gauging, surveying. Particularly the distance part. "
THOR,We know all we must. It's time to act.
SIF,He's just got to swing his hammer...
THOR,"It feels good, doesn't it? To be together again, adventuring on another world? "
FANDRAL,Adventuring? Is that what we're doing?
THOR,What would you call it?
FANDRAL,Freezing.
VOLSTAGG,Starving.
SIF,Whining.
THOR,How about a song to lift our spirits?
HOGUN,"No, not that! "
SIF,Please don't make us sing again!
FANDRAL,"If I have to listen to Volstagg's singing voice one more time, I'll fall on my own sword! "
SIF,"Well, now I'm on board."
SIF,Where are they?
THOR,Hiding. As cowards always do.
JOTUN SENTRY,"What is your business here, Asgardian?"
THOR,I speak only to your King. Not to his foot soldiers.
JOTUN VOICE,Then speak.
LAUFEY,"I am Laufey, King of this Realm. "
THOR,And I am--
LAUFEY,"We know who you are, Odinson. Why have you brought the stench of your blood into my world? "
THOR,I demand answers.
LAUFEY,"You ""demand?"""
THOR,How did your people get into Asgard?
LAUFEY,The house of Odin is full of traitors.
THOR,Do not dishonor my father's name with your lies.
LAUFEY,"Your father is a murderer and a thief. He stole what was ours, and left our world in ruins. We have the right to reclaim the Casket. "
THOR,Not when you'd use it to make war against other Realms.
LAUFEY,"And why have you come here? To make peace? You long for battle. You crave it. I see you for what you are, Thor Odinson. Nothing but a boy, trying to prove himself a man. "
THOR,This boy has grown tired of your mockery.
LOKI,"Thor, stop and think. Look around you. We are outnumbered. "
THOR,"Know your place, brother... "
LAUFEY,You should listen to his counsel. You know not what your actions would unleash.
LAUFEY,"But I do. Go now, while I still allow it."
LOKI,We will accept your most gracious offer.
JOTUN,"Run back home, little princess."
LOKI,Damn.
VOLSTAGG,Silly hammer! Has a mind of its own!
FANDRAL,I'm hoping that's just decorative.
THOR,Next!
FANDRAL,"Well? What move, do you think? "
VOLSTAGG,"I say we use ""The Norn's Revenge."""
FANDRAL,"At this close range? I think ""The Alfheim Lunge"" is a better move. "
VOLSTAGG,"Maybe if they were three feet tall! No! How about ""The Randy Valkyrie""?"
HOGUN,Shut up!
SIF,"If you don't treat me like a lady, I won't act like a lady!"
LOKI,Pathetic.
THOR,Come on! At least make it a challenge for me!
THOR,Now that's more like it!
THOR,Ugly and stupid.
SIF,I'm so glad I taught him how to do that!
VOLSTAGG,You may want to put some ice on that!
VOLSTAGG,"You may be taller, but I'm wider!"
VOLSTAGG,It's not too late for you to surrender.
VOLSTAGG,Don't let them grab hold of you!
VOLSTAGG,"Thank you, my lady. But I nearly had him! "
SIF,Of course you did.
VOLSTAGG,Hang on!
HOGUN,Watch the legs!
VOLSTAGG,Right. Sorry.
FANDRAL,You really think your icicles are a match for Asgardian steel?
FANDRAL,Fair enough.
FANDRAL,Could we stop just a moment while I get another sword?
VOLSTAGG,That's unfortunate.
FANDRAL,"I may need a bit of help. Not a good look, is it? "
