character,line
ODIN,"Long before the birth of light there was darkness, and from that darkness, came the Dark Elves. Millennia ago, the most ruthless of their kind, Malekith, sought to transform our universe back into one of eternal night."
ODIN,"Such evil was possible through the power of the Aether, an ancient force of infinite destruction."
ODIN,"The noble armies of Asgard, led by my father, King Bor, waged a mighty war against these creatures."
KURSE,Malekith! Asgard's forces are upon us.
MALEKITH,Send the Kursed.
ODIN,"As the Nine Worlds converged above him, Malekith could at last unleash the Aether..."
ODIN,"But Asgard ripped the weapon from his grasp. Without it, the Dark Elves fell. With the battle all but lost, Malekith sacrificed his own people in a desperate attempt to lay waste to Asgard's army."
MALEKITH,Their deaths will mean our survival. This war is far from over.
ODIN,"Malekith was vanquished, and the Aether was no more. Or so we were led to believe."
ASGARDIAN EINHERJAR,"Sire, the Aether. Shall we destroy it?"
BOR,If only we could. But its power is too great. Bury it deep. Somewhere no one will ever find it.
FRIGGA,Loki.
LOKI,"Hello, mother. Have I made you proud?"
FRIGGA,"Please, don't make this worse."
LOKI,Define worse.
ODIN,Enough! I will speak to the prisoner alone.
LOKI,I really don't see what all the fuss is about.
ODIN,"Do you not truly feel the gravity of your crimes? Wherever you go there is war, ruin and death."
LOKI,I went down to Midgard to rule the people of Earth as a benevolent god. Just like you.
ODIN,"We are not gods. We are born, we live, we die. Just as humans do."
LOKI,Give or take 5000 years.
ODIN,All this because Loki desires a throne.
LOKI,It is my birthright.
ODIN,Your birthright was to die as a child. Cast out onto a frozen rock. If I had not taken you in you would not be here now to hate me.
LOKI,"If I am for the axe, then for mercy's sake, just swing it. It's not that I don't love our little talks, it's just ... I don't love them."
ODIN,Frigga is the only reason you are still alive and you will never see her again. You will spend the rest of your days in the dungeons.
LOKI,And what of Thor? You'll make that witless oaf king while I rot in chains?
ODIN,"Thor must strife to undo the damage you have done. He will bring order to the nine realms and then, yes. He will be king."
SIF,I've got this completely under control!
THOR,Is that why everything is on fire?
SIF,You're welcome.  All yours.
THOR,Hello.  I accept your surrender.
THOR,Anyone else?
FANDRAL,Perhaps next time we should start with the big one.
GUARD,Keep moving. Come on! Keep moving. Go ahead of me. Don't you turn around!
HOGUN,Where do we go next?
THOR,"Hogun, the peace is nearly won across the Nine Realms. You should stay here. Be with your people, where your heart is. Asgard can wait."
HOGUN,You have my thanks.
THOR,"As you have mine. Heimdall, when you're ready."
ODIN,Is Vanaheim secure?
THOR,As are Nornheim and Ria. Though our work would have gone more quickly with you at the fore.
ODIN,You must think I'm a piece of bread that needs to be buttered so heavily.
THOR,That was not my intent.
ODIN,"For the first time since the Bifrost was destroyed, the Nine Realms are at peace. They're well reminded of our strength and you have earned their respect and my gratitude."
THOR,Thank you.
ODIN,Nothing out of order except your confused and distracted heart.
THOR,"This isn't about Jane Foster, Father."
ODIN,"Human lives are fleeting, they are nothing. You'd be better served by what lies in front of you  I'm telling you this not as the all-father but as your father. You are ready. The time has come for you to take the throne. Embrace and celebrate what you've won. Join your warriors. Eat and drink, revel in their celebration. At least pretend to enjoy yourself."
SIF,There was a time you would celebrate for weeks.
THOR,I remember you celebrated the battle of Haragon so much that you nearly started a second.
SIF,"Well, the first was so much fun."
SIF,Take a drink with me. Surely the All-Father could have no further task for you tonight.
THOR,"No, this is one I set myself."
SIF,It has not gone unnoticed that you disappear each night. There are Nine Realms. Future king of Asgard must focus on more than one.
THOR,"I thank you for your sword and for your counsel, good Lady Sif."
RICHARD,Hi.
JANE FOSTER,Hi.
RICHARD,So what's the story with you?
JANE FOSTER,"Why does there have to be a story, there's no story."
RICHARD,"You've spent the first ten minutes of our date hiding behind a menu that has three choices on it. It's either chicken, vegetarian or fish, Jane. I think there's a story and I'm thinking the story involves a guy?"
JANE FOSTER,It's complicated.
RICHARD,Is he still around?
JANE FOSTER,"No, he...went away."
RICHARD,"I've been there. The going away, it's hard. I'd been seeing a woman and uh...she took a job in New York, eventually the distance killed it. And...and the fact that she uh...she kept sleeping with other dudes."
JANE FOSTER,No!
RICHARD,"Oh, so many."
RICHARD,Hi. Um...could we get some wine please?
DARCY LEWIS,"Sure, I'd love some."
JANE FOSTER,"Richard, this is Darcy.  What are you doing here?"
RICHARD,"Oh, hello."
DARCY LEWIS,"So, I show up to work at the lab-slash-your mom's house, fully expecting you to be moping around in your pajamas eating ice cream obsessing about you know who..."
RICHARD,Ah.
DARCY LEWIS,"But you're not! You're wearing lady clothes, you even showered, didn't you? You smell good."
JANE FOSTER,"Is there a point to all this, cause there really has to be a point to all this."
DARCY LEWIS,Right. You know that scientific equipment you don't look at anymore? You might wanna start looking at it now
DARCY LEWIS,This is the reason we came all the way out here.
JANE FOSTER,It's malfunctioning.
DARCY LEWIS,That's what I said.
DARCY LEWIS,That's what I did! But you just hit a little more scientific.
JANE FOSTER,I'm sure it's nothing.
RICHARD,Yeah.
DARCY LEWIS,"It didn't look like nothing. Kind of looks like the readings that Erik was rambling about.  Our friend Erik, kind of went banana-balls."
JANE FOSTER,He's not interested. I'm not interested. Time for you to go now.
DARCY LEWIS,Okay.
RICHARD,Short but sweet.
JANE FOSTER,She needs help.
RICHARD,I think I'm gonna have the sea bass.
JANE FOSTER,"Sea bass. Yeah, sea bass is good."
JANE FOSTER,"Sea bass, sea bass, sea bass, sea bass, sea bass, sea bass, sea bass...sea bass. Sea bass..."
RICHARD,"Jane, maybe you should stop saying sea bass and go out to your friend."
JANE FOSTER,This was so fun.
RICHARD,"You know, I'll just stay here and say sea bass alone."
JANE FOSTER,And I hate you.
DARCY LEWIS,What?! I thought he was cute.
JANE FOSTER,Just shut up and drive.
JANE FOSTER,Who's he?
DARCY LEWIS,He's my intern.
JANE FOSTER,You have an intern?
DARCY LEWIS,"Oh, yeah."
IAN BOOTHBY,"Hello, Dr. Foster. It's uh...it's a great honor to be working with you."
JANE FOSTER,Right. I have to call Erik.
IAN BOOTHBY,"Oh, uh...take a right."
IAN BOOTHBY,Left!
DARCY LEWIS,I have totally mastered driving in London.
JANE FOSTER,"Hi, Erik, it's me again. Where are you? I came here because you said you were onto something and then vanished."
STONEHENGE TV NEWS REPORTER,"I'm here at Stonehenge, for what has been an interesting unfolding of events today. The police reported the scene shortly after 11 a.m. this morning, after a seemingly harmless rambler approached the area then started to strip naked and effectively terrorize tourists there with scientific equipment while shouting that he was trying to save them. The man later identified as noted Astrophysicist Dr. Erik Selvig has been called in for questioning by police."
DARCY LEWIS,"Come on, this is exciting! Look, the intern is excited."
IAN BOOTHBY,Ian.
DARCY LEWIS,Do you want the phase meter?
JANE FOSTER,No.
DARCY LEWIS,Bring the phase meter.
DARCY LEWIS,The toaster looking thing.
IAN BOOTHBY,I know what the phase meter is.
JANE FOSTER,How do I change the ring tone on this thing?
DARCY LEWIS,An Astrophysicist with three degrees should be able to change her own ring tone.
JANE FOSTER,Why are you calling me?
DARCY LEWIS,"I didn't want to shout.  Intern, the entrance is this way."
IAN BOOTHBY,Ian. My name's Ian.
DARCY LEWIS,I am not getting stabbed in the name of science.
DARCY LEWIS,"It's okay, we're Americans!"
JANE FOSTER,Is that supposed to make them like us?
MADDIE,Make it go away...
NAVID,Ssh!
JANE FOSTER,"Oh, they're kids."
MADDIE,Are you the police?
JANE FOSTER,"No, we're scientists. Well, I am."
DARCY LEWIS,Thanks.
NAVID,We just found it.
JANE FOSTER,Can you show us?
DARCY LEWIS,That doesn't seem rigged.
DARCY LEWIS,Where did it go?
DARCY LEWIS,That's...that's incredible.
DARCY LEWIS,What happened?
MADDIE,"Sometimes they come back, sometimes they don't."
DARCY LEWIS,"I want to throw something. Jane, give me your shoe."
JANE FOSTER,I haven't seen readings like this since...
DARCY LEWIS,New Mexico?
JANE FOSTER,Don't touch anything!
DARCY LEWIS,Give me your shoe.
DARCY LEWIS,Where those the car keys?
JANE FOSTER,Darcy!
MALEKITH,The Aether awakens us. The Convergence returns.
HEIMDALL,You're late.
THOR,Merriment can sometimes be a heavier burden than battle.
HEIMDALL,Then you're doing one of them incorrectly.
THOR,Perhaps. How fare the stars?
HEIMDALL,Still shining. From here I can see Nine Realms and ten trillion souls.
HEIMDALL,You recall what I told you of the Convergence?
THOR,"Yes, the alignment of the worlds. It approaches, doesn't it?"
HEIMDALL,"The universe hasn't seen this marvel since before my watch began. Few can sense, even fewer can see it. A world that's infected can be dangerous. It is truly beautiful."
THOR,I see nothing.
HEIMDALL,Or perhaps that is not the beauty you seek.
THOR,How is she?
HEIMDALL,"She's quite clever, your mortal. She doesn't know it yet, but she studies the Convergence as well. Even..."
THOR,What?
HEIMDALL,I can't see her.
DARCY LEWIS,Jane! Where the hell were you?
JANE FOSTER,Tell me you didn't call the police!
DARCY LEWIS,What was I supposed to do?
JANE FOSTER,Not call the police!
DARCY LEWIS,I was freaking out.
JANE FOSTER,"You call the cops they tell the feds, the next thing you know we have SHIELD crawling all over area fifty-one-ing the place."
DARCY LEWIS,Jane!
JANE FOSTER,"We had a stable gratification anomaly, we had unheeded access. Our only competition was ten years old!"
DARCY LEWIS,"Jane, you were gone for five hours!"
JANE FOSTER,What?
DARCY LEWIS,That's weird.  Typical.
THOR,Jane.
JANE FOSTER,"Sorry. I just needed to make sure you were real, it's been a very strange day."
THOR,"Well, I am. Jane..."
JANE FOSTER,Where were you?!
THOR,Where were you? Heimdall could not see you.
JANE FOSTER,I was right here where you left me. I was waiting and then I was crying and then I went out looking for you. You said you were coming back
THOR,"I know, I know, but the Bifrost was destroyed. The Nine Realms erupted into chaos, wars were raging, marauding hordes were pillaging. I had to put an end to the slaughter."
JANE FOSTER,"As excuses go, that's not terrible. But I saw you on TV, you were...you were in New York!"
THOR,"Jane, I fought to protect you from the dangers of my world, but I was wrong, I was a fool.  I believe that fate brought us together. Jane, I don't know where you were or what happened, but I do know this."
JANE FOSTER,What?
THOR,I know...
JANE FOSTER,You do?
THOR,Do what?
JANE FOSTER,Hey! Is that you?
JANE FOSTER,Uh...we're kind of in the middle of something.
DARCY LEWIS,Um...I'm pretty sure we are getting arrested.
JANE FOSTER,Hold that thought.
DARCY LEWIS,"Look at you, still all muscly and everything. How's space?"
THOR,Space is fine.
JANE FOSTER,Excuse me?
POLICE OFFICER #1,Are you Jane Foster?
JANE FOSTER,Yes.
POLICE OFFICER #1,Do you know this man?
JANE FOSTER,He's my intern. My intern's intern.
POLICE OFFICER #1,"This is private property and you're trespassing, the lot of you. You'll have to come with me."
THOR,Jane! Jane?  You alright?
JANE FOSTER,What just happened?
POLICE OFFICER #2,"Place your hands on your head, step back!"
THOR,The woman is unwell.
POLICE OFFICER #2,She's dangerous.
THOR,So am I.
POLICE OFFICER #2,Requesting armed response officers to the scene.
THOR,Hold on to me.
JANE FOSTER,What are you doing?
DARCY LEWIS,Holy shit!
JANE FOSTER,We have to do that again.  Hi.
HEIMDALL,Welcome to Asgard.
MALEKITH,"Look at my legacy, Algrim. I barely remember the time before light."
ALGRIM,Our survival will be your legacy.
MALEKITH,The Asgardians will suffer as we have suffered. I will reclaim the Aether. I will restore our world and I'll put an end to this poisonous world.
JANE FOSTER,What's that?
EIR,Be still.
THOR,"This is not of Earth, what is it?"
ASGARDIAN NURSE,"We do not know, but she will not survive the amount of energy surging within her."
JANE FOSTER,"That's a quantum field generator, isn't it?"
EIR,It's a Soul Forge.
JANE FOSTER,Does a Soul Forge transfer molecular energy from one place to another?
EIR,Yes.
JANE FOSTER,It's a quantum field generator.
ODIN,My words are mere noises to you that you ignore them completely?
THOR,She's ill.
ODIN,She is mortal. Illness is their defining trait.
THOR,I brought here because we can help her.
ODIN,She does not belong here in Asgard anymore than a goat belongs at a banquet table.
JANE FOSTER,Did he just...?  Who do you think you are?
ODIN,I'm Odin. King of Asgard. Protector of the Nine Realms.
JANE FOSTER,"Oh. Well, I'm..."
ODIN,"I know very well who you are, Jane Foster."
JANE FOSTER,You told your Dad about me?
THOR,"Something is within her, father, something I have not seen before."
ODIN,"Her world has its healers, their called doctors, let them deal with it. Guards, take her back to Midgard."
THOR,"Don't touch her.  Jane, are you alright?"
ODIN,That's impossible.
EIR,"The infection, it's defending her."
THOR,"No, it's defending itself."
ODIN,"Come with me. There are relics that predate the universe itself. What lies within her appears to be one of them. The Nine Realms are not eternal. They had a dawn as they will have a dusk.  But before that dawn the dark forces, the Dark Elves, reigned absolute and unchallenged."
THOR,"""Born of eternal night, the Dark Elves comes to steal away your light."" They were these stories mother told us as children."
ODIN,"Their leader, Malekith made a weapon out of that darkness, it was called the Aether. While the other relics often appeared as stones, the Aether is fluid and ever changing. It changes matter into dark matter and seeks out to host bodies, drawing strength from their life force. Malekith sought to use the Aether's power to return the universe to one of darkness. But after eternities of blood shed, my father Bor, finally triumphed, ushering in the peace that lasted thousands of years."
JANE FOSTER,What happened?
ODIN,He killed them all.
