,character,line,movie,year,words,Christopher Markus,Stephen McFeely,Joss Whedon,Eric Pearson,Craig Kyle,Christopher Yost,Mark Fergus,Hawk Ostby,Art Marcum,Matt Holloway,James Gunn
0,CLINT BARTON,"Okay, you see where you’re going? Let’s work on how to get there.",Avengers: Endgame,2019.0,13,True,True,False,False,False,False,False,False,False,False,False
1,CLINT BARTON,"Okay, good...tip down...bow arm out...three fingers- ",Avengers: Endgame,2019.0,7,True,True,False,False,False,False,False,False,False,False,False
2,LILA BARTON,Why three?,Avengers: Endgame,2019.0,2,True,True,False,False,False,False,False,False,False,False,False
3,CLINT BARTON,‘Cause two’s not enough and four’s too much-,Avengers: Endgame,2019.0,8,True,True,False,False,False,False,False,False,False,False,False
4,LAURA BARTON,"You guys want mustard or mayo, or both?",Avengers: Endgame,2019.0,8,True,True,False,False,False,False,False,False,False,False,False
5,LILA BARTON,Who puts mayo on a hot dog?,Avengers: Endgame,2019.0,7,True,True,False,False,False,False,False,False,False,False,False
6,CLINT BARTON,"We’ll both have mustard, hon!  Okay.  Draw back, deep breath...",Avengers: Endgame,2019.0,12,True,True,False,False,False,False,False,False,False,False,False
7,CLINT BARTON,"Good job, Hawkeye.  Go get your arrow. ",Avengers: Endgame,2019.0,9,True,True,False,False,False,False,False,False,False,False,False
8,LAURA BARTON,Enough murder practice!  Soup’s on!,Avengers: Endgame,2019.0,6,True,True,False,False,False,False,False,False,False,False,False
9,CLINT BARTON,"One sec, babe.  Be right there! We’re gonna kill some hot dogs. We’re hungry.",Avengers: Endgame,2019.0,15,True,True,False,False,False,False,False,False,False,False,False
10,CLINT BARTON,"Lila?  Babe, did you see Lila- ",Avengers: Endgame,2019.0,8,True,True,False,False,False,False,False,False,False,False,False
11,CLINT BARTON,"Guys?  Guys, come on... ",Avengers: Endgame,2019.0,6,True,True,False,False,False,False,False,False,False,False,False
12,CLINT BARTON,Laura?,Avengers: Endgame,2019.0,1,True,True,False,False,False,False,False,False,False,False,False
13,CLINT BARTON,LAURA!,Avengers: Endgame,2019.0,1,True,True,False,False,False,False,False,False,False,False,False
