movie,is transcript,lines,runtime min,url,words,year,characters
Iron Man,False,834,126,https://www.scriptslug.com/assets/uploads/scripts/iron-man-2008.pdf,10004,2008,37
Iron Man 2,True,1010,124,https://transcripts.fandom.com/wiki/Iron_Man_2,11342,2010,42
Thor,False,1007,114,https://www.scriptslug.com/assets/uploads/scripts/thor-2011.pdf,9299,2011,39
Captain America: The First Avenger,True,688,124,https://transcripts.fandom.com/wiki/Captain_America:_The_First_Avenger,7482,2011,70
The Avengers,False,1027,143,https://www.scriptslug.com/assets/uploads/scripts/the-avengers-2012.pdf,10643,2012,54
Iron Man 3,True,1043,131,https://transcripts.fandom.com/wiki/Iron_Man_3,10875,2013,57
Thor: The Dark World,True,734,112,https://transcripts.fandom.com/wiki/Thor:_The_Dark_World,7418,2013,41
Captain America: The Winter Soldier,True,841,136,https://transcripts.fandom.com/wiki/Captain_America:_The_Winter_Soldier,8696,2014,65
Ant-Man,True,867,117,https://transcripts.fandom.com/wiki/Ant-Man,9335,2015,33
Avengers: Age of Ultron,True,980,141,https://transcripts.fandom.com/wiki/Avengers:_Age_of_Ultron,10405,2015,38
Captain America: Civil War,True,987,147,https://transcripts.fandom.com/wiki/Captain_America:_Civil_War,10589,2016,51
Thor: Ragnarok,False,961,130,https://www.scriptslug.com/assets/uploads/scripts/thor-ragnarok-2017.pdf,9658,2017,35
Guardians of the Galaxy Vol. 2,False,993,137,https://www.scriptslug.com/assets/uploads/scripts/guardians-of-the-galaxy-vol-2-2017.pdf,9641,2017,35
Spider-Man: Homecoming,True,1558,133,https://transcripts.fandom.com/wiki/Spider-Man:_Homecoming,12214,2017,82
Black Panther,False,834,134,https://www.scriptslug.com/assets/uploads/scripts/black-panther-2018.pdf,7720,2018,54
Avengers: Infinity War,True,990,149,https://transcripts.fandom.com/wiki/Avengers:_Infinity_War,9017,2018,47
Captain Marvel,True,775,124,https://transcripts.fandom.com/wiki/Captain_Marvel_(2019),7137,2019,46
Avengers: Endgame,False,1229,181,https://www.scriptslug.com/assets/uploads/scripts/avengers-endgame-2019.pdf,11677,2019,70
