character,line
ANNOUNCER,Report to your stations immediately. This is not a drill. We are under attack. We are under attack.
TONY STARK,Shit!
STEVE ROGERS,"Language! JARVIS, what's the view from upstairs?"
JARVIS,The central building is protected by some kind of energy shield. Strucker's technology is well beyond any other Hydra base we've taken.
THOR,Loki's scepter must be here. Strucker couldn't mount this defense without it. At long last.
NATASHA ROMANOFF,"At long last is lasting a little long, boys."
CLINT BARTON,Yeah. I think we lost the element of surprise.
TONY STARK,"Wait a second. No one else is going to deal with the fact that Cap just said ""language?"""
STEVE ROGERS,I know.
STEVE ROGERS,It just slipped out.
STRUCKER,Who gave the order to attack?
FORTRESS SOLDIER,"Herr Strucker, it's the Avengers. They landed in the far woods, the perimeter guard panicked."
STRUCKER,They have to be after the scepter.  Can we hold them?
FORTRESS SOLDIER,They're the Avengers...
STRUCKER,Deploy the rest of the tanks.
FORTRESS SOLDIER,"Yes, sir."
STRUCKER,Concentrate fire on the weak ones. A hit can make them close ranks. Everything we've accomplished. But we're on the verge of our greatest breakthrough.
DR. LIST,Then let's show them what we've accomplished. Send out the twins.
STRUCKER,It's too soon.
DR. LIST,It's what they signed up for.
STRUCKER,My men can hold them.
JARVIS,"Sir, the city is taking fire."
TONY STARK,"Well, we know Strucker's not going to worry about civilian casualties. Send in the Iron Legion."
IRON LEGION,This quadrant is unsafe. Please back away. We are here to help. This quadrant is unsafe. Please back away. Please back away. We wish to avoid collateral damage and will inform you when this current conflict is resolved. We are here to help.
IRON LEGION,We are here to help.
STRUCKER,"We will not yield! The Americans sent their circus freaks to test us. We will send them back, in bags. No Surrender!"
SOLDIERS,No Surrender!
STRUCKER,"I am going to surrender. You will delete everything. If we give the Avengers the weapons, they may not look too far into what we've been..."
DR. LIST,The twins.
STRUCKER,They are not ready to take on...
DR. LIST,"No, no. I mean..."
DR. LIST,The Twins.
PIETRO MAXIMOFF,You didn't see that coming?
NATASHA ROMANOFF,Clint!
STEVE ROGERS,We have an enhanced in the field.
NATASHA ROMANOFF,Clint's hit!
NATASHA ROMANOFF,Somebody want to deal with that bunker?
NATASHA ROMANOFF,Thank you.
STEVE ROGERS,"Stark, we're really need to get inside."
TONY STARK,"I'm closing in. JARVIS, am I...closing in? Do you see a power source for that shield?"
JARVIS,There's a pathway below the north tower.
TONY STARK,"Great, I wanna poke it with something."
TONY STARK,"Drawbridge is down, people."
THOR,The enhanced?
STEVE ROGERS,"He's a blur. All the new player's we've faced, I've never seen this. In fact, I still haven't."
NATASHA ROMANOFF,"Clint's hit pretty bad, guys. We're gonna need evac."
THOR,I can get Barton to the jet. The sooner we're gone the better. You and Stark secure the scepter.
STEVE ROGERS,Copy that.
THOR,Looks like they're lining up.
STEVE ROGERS,"Well, they're excited."
THOR,Find the scepter.
TONY STARK,"And for gosh sake, watch your language!"
STEVE ROGERS,That's not going away anytime soon.
TONY STARK,"Guys, stop, we gotta talk about this."
TONY STARK,Good talk.
FORTRESS SOLDIER,No it wasn't.
TONY STARK,Sentry mode.
TONY STARK,"Okay, JARVIS. You know I want it all. Make sure you copy Hill at HQ."
NATASHA ROMANOFF,We're locked down out here.
STEVE ROGERS,"Then get to Banner, time for a lullaby."
TONY STARK,"I know you're hiding more than files. Hey, J, give me an IR scan of the room, real quick."
JARVIS,The wall to your left...I'm reading steel reinforcement and an air current.
TONY STARK,"Please be a secret door, please be a secret door, please be a secret door..."
TONY STARK,Yay!
NATASHA ROMANOFF,"Hey, big guy. The sun's getting real low."
STEVE ROGERS,Baron Strucker. Hydra's number one thug.
STRUCKER,"Technically, I'm a thug for SHIELD."
STEVE ROGERS,Well then technically you're unemployed. Where's Loki's scepter?
STRUCKER,"Don't worry, I know when I'm beat. You'll mention how I cooperated, I hope."
STEVE ROGERS,I'll put it right under illegal human experimentation.
STEVE,Rogers: How many are there?
STEVE ROGERS,We have a second enhanced. Female. Do not engage.
STRUCKER,You'll have to be faster than...
STEVE ROGERS,"Guys, I got Strucker."
TONY STARK,"Yeah, I got...something bigger."
TONY STARK,"Thor, I got eyes on the prize."
STEVE ROGERS,You could have saved us.
STEVE ROGERS,Why didn't you do more?
