character,line
DR. HANK PYM,Stark.
MITCHELL CARSON,He doesn’t seem happy.
HOWARD STARK,"Hello, Hank. You’re supposed to be in Moscow."
DR. HANK PYM,I took a detour.  Through your defense lab.
PEGGY CARTER,Tell me that isn’t what I think it is.
DR. HANK PYM,"It depends, if you think it’s a poor attempt to replicate my work. Even for this group, that takes nerve."
MITCHELL CARSON,"You were instructed to go to Russia. May I remind you, Dr. Pym, that you’re a soldier…"
DR. HANK PYM,I’m a scientist.
HOWARD STARK,"Then act like one. The Pym Particle is the most revolutionary science ever developed, help us put it to good use."
DR. HANK PYM,"I let you turn me into your errand boy, and now you try to steal my research?"
MITCHELL CARSON,"If only you’d protected Janet with such ferocity, Dr. Pym."
DR. HANK PYM,"Oh, god."
PEGGY CARTER,"Easy, Hank."
DR. HANK PYM,You mention my wife again and I’ll show you ferocity.
HOWARD STARK,"Don’t look at me, you said it."
DR. HANK PYM,I formally tender my resignation.
HOWARD STARK,"We don’t accept it. Formally. Hank, we need you. The Pym Particle is a miracle. Please, don’t let your past determine the future."
DR. HANK PYM,"As long as I am alive, nobody will ever get that formula."
MITCHELL CARSON,We shouldn’t let him leave the building.
PEGGY CARTER,"You’ve already lied to him, now you want to go to war with him?"
MITCHELL CARSON,Yes! Our scientists haven’t come close to replicating his work.
HOWARD STARK,"He just kicked your ass full size. You really want to find out what it’s like when you can’t see him coming? I’ve known Hank Pym for a long time, he’s no security risk. Unless we make him one."
PEACHY,You like that? You like that? Come get you some then!
,
SCOTT LANG,You didn’t even move.
PEACHY,Nah.
SCOTT LANG,"I mean, what if I come in on the left side, right? Just out here and see this here…"
PEACHY,"I’m gonna miss you, Scott."
SCOTT LANG,"I’m gonna miss you too, Peachy.  Man, you guys got the weirdest goodbye rituals."
LUIS,"Scotty! What’s up, man! Damn!"
SCOTT LANG,"Hey! Hey, man."
,
LUIS,"Hey, what’s up with your eye?"
SCOTT LANG,"Oh, well, what do you think. Peachy. His going away present."
LUIS,"Oh, yeah, I still got my scar from a year ago."
SCOTT LANG,Oh yeah.
LUIS,"Yeah. Yeah, yeah. You know what? I’m still the only one to knock him out."
SCOTT LANG,"Well, I definitely didn’t."
,
SCOTT LANG,"Thanks for picking me up, brother."
LUIS,"Oh, you know, you think I’m gonna miss my cellie getting out?"
SCOTT LANG,"Hey, how’s your girl, man?"
LUIS,"Uh, she left me."
SCOTT LANG,Oh.
LUIS,"Yeah, my mom died too. And my dad got deported. But I got the van!"
SCOTT LANG,It’s nice!
LUIS,"Yeah, right?"
SCOTT LANG,Thanks for the hook-up too. I needed a place to stay.
LUIS,"You wait ‘til you see this couch, you’re gonna be really happy. You’re gonna be on your feet in no time, watch."
SCOTT LANG,I hope so.
LUIS,"Yeah. And I gotta introduce you to some people, some really skilled people."
SCOTT LANG,Not interested.
LUIS,Yeah right!
SCOTT LANG,"No, I’m serious, man. I’m not going back. I got a daughter to take care of."
LUIS,"You know that jobs don’t come easy for ex-cons, right?"
SCOTT LANG,"Look man, I got a masters in electrical engineering, alright? I’m gonna be fine."
SCOTT LANG,Welcome to Baskin Robbins. Would you like to try our Mango Fruit Blast?
ICE CREAM STORE CUSTOMER,"Uh, no thanks. Um, I will have… I’ll have a burger, please."
SCOTT LANG,"Oh, we don’t… we don’t make that."
ICE CREAM STORE CUSTOMER,"Pretzel. Hot pretzel, like, mustard… in mustard dip?"
SCOTT LANG,It’s ice cream. Baskin Robbins.
ICE CREAM STORE CUSTOMER,I’ll just do with whatever’s hot and fresh.
SCOTT LANG,Dude.
DALE,"Can I see you in the back, chief? Pronto."
SCOTT LANG,"Sure thing, Dale. Darby, could you just, uh…  …take care of this idiot? Thanks."
SCOTT LANG,"Hiya, Dale."
DALE,Come on in. Pull up some chair.
,
DALE,"Three years in San Quentin, huh?"
SCOTT LANG,You found out.
DALE,Baskin Robbins always finds out.
SCOTT LANG,"Look, I’m sorry, alright, but I… no one would hire me."
DALE,Breaking and entering. Grand larceny.
SCOTT LANG,"Look, I’m… I’m sorry, I… you know, it was… I don’t do it anymore. I’m just trying…"
DALE,Respect. I couldn’t be happier about it.
SCOTT LANG,Really?
DALE,"Yeah, yeah."
SCOTT LANG,"Oh, thank you, thank you."
DALE,"You really stuck it to those billionaire S.O.Bs. And the more I read about what you did and stuff, I’m like, “Wow, I know this guy? I’m in charge of this guy?” Yeesh!"
SCOTT LANG,"Well, I’m very happy in this job, and I’m… I really just appreciate the opportunities and…"
DALE,"Yeah, yeah. Well, you’re fired of course. I mean, I can’t really keep you on."
SCOTT LANG,"Wait, what? Fired?"
DALE,Yeah.
SCOTT LANG,"Dale, look, it wasn’t a violent crime, I mean, I’m a good worker."
DALE,"No, it wasn’t a violent crime. It was a cool crime. I’ll tell you what, though, this’d be totally off the books, off the records, but, uh… if you want to grab one of those Mango Fruit Blasts on your way out the door, I’ll just pretend I didn’t see it."
LUIS,"Hey, Scotty, what’s up? I thought you were supposed to be at work?"
SCOTT LANG,"I was, I got fired."
LUIS,Damn! They find out who you are?
SCOTT LANG,Yep.
LUIS,"Baskin Robbins always finds out, bro."
DAVE,Baskin Robbins don’t play.
LUIS,You want some waffles?
SCOTT LANG,"Yeah, I’ll take a waffle."
LUIS,"Oh. That’s Kurt. He was in Folsom for 5 years, he’s a wizard on that laptop."
KURT,Nice to meet you.
SCOTT LANG,"Yeah, nice to meet you too.  And who are you?"
DAVE,Dave. Nice work on the Vista job.
KURT,"Vista job? Yes. No, no, I have heard of this robbery."
SCOTT LANG,"Well, technically, I didn’t rob them. Robbery involves threat. I hate violence, I burgled them. I’m a cat burglar."
DAVE,You mean you’re a pussy?
SCOTT LANG,Yeah.
LUIS,"They were overcharging the customers, right? And it added up to millions. He blows the whistle and he gets fired. And what does he do? He hacks into the security system, and transfers millions back to the people that they stole it from."
DAVE,Posts all the bank records online.
LUIS,And he drove dude’s Bentley into a swimming pool.
SCOTT LANG,What are you doing? Hmm? Why are you telling my life’s story to these guys? What do you want?
LUIS,"Okay. My cousin talked to this guy two weeks ago about this little, perfect job."
SCOTT LANG,No way.
LUIS,"No, no, no. Wait! This guy… this guy fits your M.O."
SCOTT LANG,No! I’m finished man. I’m not going back to jail.
LUIS,"It’s some retired millionaire living off his golden parachute, It’s a perfect Scott Lang mark."
SCOTT LANG,I don’t care. I’m out.
PYM TECH GATE GUARD,Dr. Pym?
DR. HANK PYM,Yes. I’m still alive.
,
PYM TECH SECURITY GUARD,I.D.
DR. HANK PYM,Perhaps that will suffice.
PYM TECH SECURITY GUARD,"I’m very sorry, sir. Please come in."
PYM TECH EMPLOYEE,Is that Hank Pym?
HOPE VAN DYNE,"Good morning, Hank."
DR. HANK PYM,Hope. Would it kill you to call me dad?
HOPE VAN DYNE,"Well, Dr. Cross will be so please that you could find the time to join us today."
DARREN CROSS,"More like, thrilled."
DR. HANK PYM,"I was surprised to receive any kind of invitation from you, Darren. What’s the occasion?"
DARREN CROSS,"Oh, you’ll see. Won’t he, Hope?"
HOPE VAN DYNE,We’re ready for you inside.
DARREN CROSS,"Ouch.  I guess some old wounds never heal, huh? Don’t worry, she’s in good hands. You’re in for a treat."
CARSON,"Long time no see, Dr. Pym. How’s retirement?"
DR. HANK PYM,How’s your face?
HOPE VAN DYNE,After you.
DARREN CROSS,"Now before we start I’d like to introduce a very special guest, this company’s founder and my mentor, Dr. Hank Pym.  When I took over this company for Dr. Pym, I immediately started researching a particle that could change the distance between atoms while increasing density and strength. Why this revolutionary idea remained buried beneath the dust and cobwebs of Hank’s research, I couldn’t tell you. But just imagine. A soldier the size of an insect. The ultimate secret weapon.  An “Ant-Man”.  That’s what they called you. Right, Hank? Silly, I know. Propaganda. Tales to astonish. Trumped up B.S. to scare the U.S.S.R. Hank, will you tell our guests what you told me every single time I asked you, was the Ant-Man real?"
DR. HANK PYM,Just a tall tale.
DARREN CROSS,"Right. Because how could anything so miraculous possibly be real?  Well I was inspired by the legend of the Ant-Man. And with my breakthrough, shrinking inorganic material, I thought, could it be possible to shrink a person? Could that be done? Well, it’s not a legend anymore. Distinguished guests, I am proud to present the end of warfare as we know it: the Yellowjacket.  The Yellowjacket is an all-purpose weapon of war capable of altering the size of the wearer for the ultimate combat advantage."
VIDEO VOICE OVER,"We live in an era in which the weapons we use to protect ourselves are undermined by constant surveillance. It’s time to return to a simpler age. One where the powers of freedom can once again operate openly to protect their interests. An all-purpose peace-keeping vessel. The Yellowjacket can manage any conflict on the Geo-political landscape, completely unseen. Efficient in both preventative measures and tactical assault. Practical applications include: surveillance, industrial sabotage, and the elimination of obstructions on the road to peace. A single Yellowjacket offers the user unlimited influence to carry out protective actions and one day soon, an army of Yellowjackets will create a sustainable environment of well-being around the world. The Yellowjacket."
FRANK,So it’s a suit.
DARREN CROSS,"Don’t be crude, Frank. It’s not a suit, it’s a… it’s a vessel. What’s a matter, you’re not impressed?"
FRANK,"Oh, I’m impressed. I’m also concerned. Imagine what our enemies could do with this tech."
DARREN CROSS,"We should have a longer conversation about that, Frank. I really value your opinion. Thank you for coming. Hope?"
HOPE VAN DYNE,"Thank you very much, everybody. I will escort you out now. Thank you."
DARREN CROSS,You seem a bit shocked.
DR. HANK PYM,"Darren, there’s a reason that I buried these secrets."
DARREN CROSS,"So you finally admit it. We could’ve done this together, Hank. But you ruined that. That’s why you’re the past and I’m the future."
DR. HANK PYM,Don’t do this.
MITCHELL CARSON,"Dr. Cross.  You sell to me first, twenty percent of your asking price, I can have the cash here in two weeks."
DARREN CROSS,Deal.
HOPE VAN DYNE,"We have to make our move, Hank."
DR. HANK PYM,How close is he?
HOPE VAN DYNE,He still can’t shrink a live subject. Just give me the suit and let me finish this once and for all.
DR. HANK PYM,No.
HOPE VAN DYNE,I have Cross’ complete trust.
DR. HANK PYM,It’s too dangerous.
HOPE VAN DYNE,We don’t have a choice.
DR. HANK PYM,"Well, that’s not entirely true."
HOPE VAN DYNE,I think I found a guy.
DR. HANK PYM,Who?
CASSIE LANG,Daddy!
SCOTT LANG,"Peanut! Oh! Happy birthday! I’m so sorry I’m late, I didn’t know what time your party started."
CASSIE LANG,It was on the invitation!
PAXTON,He didn’t get an invitation! But he came anyway.
SCOTT LANG,"Well, I’m not going to miss my little girl’s birthday party."
CASSIE LANG,I’m gonna go tell mommy you’re here.
SCOTT LANG,"Oh, you don’t…"
PAXTON,"What are you doing here, Lang? You haven’t paid a dime in child support. You know, right now if I wanted to, I could arrest you."
SCOTT LANG,"It’s good to see you too, Paxton."
CASSIE LANG,"Mommy’s so happy you’re here, she choked on her drink."
SCOTT LANG,"Hey, look what I have for you."
