character,line
SON,Baba?
FATHER,"Yes, my son?"
SON,Tell me a story.
FATHER,Which one?
SON,"The story of home. A meteorite drifts into frame, heading towards tiny Earth off in the distance."
FATHER,"Millions of years ago, a meteorite made of vibranium, the strongest substance in the universe struck the continent of Africa affecting the plant life around it. The meteorite hits Africa and we see plant life and animals affected by vibranium."
FATHER,"And when the time of man came, five tribes settled on it and called it Wakanda. The tribes lived in constant war with each other until a warrior shaman received a vision from the Panther goddess Bast who led him to the Heart Shaped Herb, a plant that granted him super human strength, speed, and instincts. A visual representation of the five tribes emerges as hands from the sand animation, and we see them unite, and then break apart as conflict arises. Bashenga rises above the conflict and eats the Heart Shaped Herb, proceeding to unite the tribes."
FATHER,"The warrior became King and the first Black Panther, the protector of Wakanda."
FATHER,"Four tribes agreed to live under the King's rule, but the Jabari tribe isolated themselves in the mountains. We see the Jabari striding off towards the isolated mountain region."
FATHER,"The Wakandans used vibranium to develop technology more advanced than any other nation, but as Wakanda thrived the world around it descended further into chaos. We see images of war and slavery just outside Wakanda ' s secretive border."
FATHER,"To keep vibranium safe, the Wakandans vowed to hide in plain sight, keeping the truth of their power from the outside world. We see the protective barrier rise around the Wakandan city, as we pull back on the Earth as it spins, now zooming in on another part of the world…"
SON,And we still hide Baba?
FATHER,Yes.
SON,"Why? Towering apartment buildings loom over the horizon. Kids play pickup basketball on a milk carton hoop when mysterious lights approach from the sky. An African man, N'JOBU sorts through firearms and goes over maps with another man, JAMES. Live news footage of the 1992 Los Angeles Riots plays on the"
N'JOBU,"Hey look, if we get in and out quick won't be any worries. You in the van come in through from the west, come around the corner, land right here. Me and the twins pulling up right here, we leavin' this car behind, ok? We corning... Suddenly, N'Jobu hears something that we don't... a familiar sound."
N'JOBU,"Hide the straps. James quickly moves into action, hiding the guns in the walls as N'Jobu peers out a window, then clears the maps from the table and unrolls a tapestry on the wall, hiding a bulletin board. James cocks a handgun."
JAMES,Is it the Feds?
N'JOBU,"No. A KNOCK rattles the door. James walks over and looks out of a peep hole, then turns back with a confused expression."
JAMES,It's two Grace Jones looking chicks •.. they're holding spears...
N'JOBU,Open it.
JAMES,You serious?
N'JOBU,They won't knock again. James opens the door and TWO DORA MILAJE  slowly enter carrying SPEARS. They eye N' Jobu.
DORA MILAJE 1,Who are you?
N'JOBU,"Prince N'Jobu, son of Azzuri."
DORA MILAJE 1,"Prove to me you are one of us. N'Jobu grabs his bottom lip and flips it, revealing a vibranium threaded TATTOO glowing blue with Wakandan script. The Dora SWIFTLY SLAM their spears down in unison, making the sound of an EMP. All electronics in the room instantly The room is pitch black, then... BOOM. The Dora hit the floor with their spears again and the lights come back ON, but now YOUNG T' CHAKA  stands before them. N'Jobu kneels at the sight of him. He swats James, urging him to do the same."
N'JOBU,"My King... Young T'Chaka looks at James, who gapes in awe."
YOUNG T'CHAKA,Leave us.
N'JOBU,"This is James. I trust him with my life. He stays, with your permission, King T'Chaka. Young T'Chaka looks at him for a long beat."
YOUNG T' CHAKA,"As you wish. At ease… Young T' Chaka removes his mask, hands it off to the Dora and the women step out into the hall, closing the door behind them."
YOUNG T' CHAKA,Come baby brother.  Let me see how you're holding up. N'Jobu stands. T'Chaka walks over to him and they embrace.
