character,line
SEARCH TEAM LEADER,Are you the guys from Washington?
SHIELD TECH,You get many other visitors out here?
SHIELD LIEUTENANT,How long have you been on site?
SEARCH TEAM LEADER,Since this morning. A Russian oil team called it in about 18 hours ago.
SHIELD LIEUTENANT,How come nobody spotted it before?
SEARCH TEAM LEADER,It’s really not that surprising. This landscape’s changing all the time. You got any ideas what this thing is exactly?
SHIELD LIEUTENANT,I don’t know. It’s probably a weather balloon.
SEARCH TEAM LEADER,I don’t think so. You know we don’t have the equipment for a job like this.
SHIELD TECH,How long before we can start craning it out?
SEARCH TEAM LEADER,I don’t think you quite understand. You guys are gonna need one hell of a crane!
SHIELD LIEUTENANT,"Base, we’re in.  What is this?  Careful."
SHIELD TECH,Lieutenant! What is it?
SHIELD LIEUTENANT,"My God!  Base, give me a line to the Colonel."
VOICE FROM EARPIECE,"It’s 3 a.m., sir."
SHIELD LIEUTENANT,I don’t care what time it is. This one’s waited long enough.
JAN,They have come for it!
TOWER KEEPER,They have before.
JAN,Not like this.
TOWER KEEPER,Let them come. They will never find it.
HYDRA LIEUTENANT,"Open it! Quickly, before he…"
JOHANN SCHMIDT,It has taken me a long time to find this place.  You should be commended.  Help him up.
JOHANN SCHMIDT,I think that you are man of great vision. And in this way we are much alike.
TOWER KEEPER,I am nothing like you.
JOHANN SCHMIDT,"No, of course. But what others see as superstition, you and I know to be a science."
TOWER KEEPER,What you seek is just a legend.
JOHANN SCHMIDT,"Then why make such an effort to conceal it?  The Tesseract was the jewel of Odin’s treasure room.  It’s not something one buries. But I think it is close, yes?"
TOWER KEEPER,I cannot help you.
JOHANN SCHMIDT,No. But maybe you can help your village. You must have some friends out there. Some… some little grandchildren perhaps. I have no need for them to die.
JOHANN SCHMIDT,"Yggdrasil. Tree of the world. Guardian of wisdom and fate, also.  And the Führer digs for trinkets in the desert. You have never seen this, have you?"
TOWER KEEPER,It’s not for the eyes of ordinary men.
JOHANN SCHMIDT,Exactly.  Gove the order to open fire.
HYDRA LIEUTENANT,Jawohl! (Yes!)
TOWER KEEPER,Fool! You cannot control the power you hold. You will burn!
JOHANN SCHMIDT,I already have.
4F DOCTOR,"O’Connel, Michael. Kaminsky, Henry."
STEVE ROGERS,"Boy, a lot of guys getting killed over there."
4F DOCTOR,"Rogers, Steven."
ENLISTMENT GUY,"It kind of makes you think twice about enlisting, huh?"
STEVE ROGERS,Nope.
4F DOCTOR,Rogers. What did your father die of?
STEVE ROGERS,Mustard gas. He was in the hundred and seventh infantry. I was hoping I could be assigned…
4F DOCTOR,Your mother?
STEVE ROGERS,"She was a nurse in a TB ward. Got hit, couldn’t shake it."
4F DOCTOR,"Sorry, son."
STEVE ROGERS,"Look, just give me a chance."
4F DOCTOR,You’d be ineligible on your asthma alone.
STEVE ROGERS,Is there anything you can do?
4F DOCTOR,I’m doing it. I’m saving your life.
COMMERCIAL ANNOUNCER,"War continues to ravage Europe. But help is on the way. Every able-bodied young man is lining up to serve his country. Even little Timmy is doing his part collecting scrap metal. Nice work, Timmy!"
LOUD JERK,Who cares? Play the movie already!
STEVE ROGERS,"Hey, you wanna show some respect?"
