character,line
VASILY KARPOV,"Желание. Ржавый. Семнадцать. Рассвет. Печь. Девять. Добросердечный. Возвращение на родину. Один. Грузовой вагон. ( Longing. Rusted. Seventeen. Daybreak. Furnace. Nine. Benign. Homecoming. One. Freight car.) Доброе утро, Солдат. ( Good morning, Soldier.)"
BUCKY BARNES,Я готов отвечать. ( Ready to comply.)
VASILY KARPOV,У меня есть для тебя миссия. Санкционируй и Извлекай. Без свидетелей.( I have a mission for you. Sanction and extract. No witnesses.)
VASILY KARPOV,"Отлично, Солдат. ( Well done, Soldier.)"
STEVE ROGERS,"All right, what do you see?"
WANDA MAXIMOFF,Standard beat cops. Small station. Quiet street. It’s a good target.
STEVE ROGERS,"There’s an ATM in the south corner, which means . . ."
WANDA MAXIMOFF,Cameras.
STEVE ROGERS,Both cross streets are one way.
WANDA MAXIMOFF,"So, compromised escape routes."
STEVE ROGERS,"Means our guy doesn't care about being seen, he isn't afraid to make a mess on the way out. You see that Range Rover halfway up the block?"
WANDA MAXIMOFF,"Yeah, the red one? It’s cute."
NATASHA ROMANOFF,"It's also bulletproof, which means private security, which means more guns, which means more headaches for somebody. Probably us."
WANDA MAXIMOFF,"You guys know I can move things with my mind, right?"
NATASHA ROMANOFF,Looking over your shoulder needs to become second nature.
SAM WILSON,Anybody ever tell you you're a little paranoid?
NATASHA ROMANOFF,Not to my face. Why? Did you hear something?
STEVE ROGERS,"Eyes on target, folks. This is the best lead we've had on Rumlow in six months. I don't want to lose him."
SAM WILSON,If he sees us coming that won't be a problem. He kind of hates us.
STEVE ROGERS,"Sam, see that garbage truck? Tag it."
SAM WILSON,Give me X-ray.
SAM WILSON,That truck’s loaded for max weight. And the driver’s armed.
NATASHA ROMANOFF,It’s a battering ram.
STEVE ROGERS,Go now.
WANDA MAXIMOFF,What?
STEVE ROGERS,He’s not hitting the police.
STEVE ROGERS,"Body armor, AR-15's. I make seven hostiles."
SAM WILSON,I make 5.
WANDA MAXIMOFF,Sam.
SAM WILSON,Four.
SAM WILSON,Rumlow’s on the third floor.
STEVE ROGERS,"Wanda, just like we practiced."
WANDA MAXIMOFF,What about the gas?
STEVE ROGERS,Get it out.
BROCK RUMLOW,Pack it up.
BROCK RUMLOW,He’s here.
STEVE ROGERS,Rumlow has a biological weapon.
NATASHA ROMANOFF,(on radio) I’m on it.
BROCK RUMLOW,I don't work like that no more.
BROCK RUMLOW,Fire in the hole.
MERCENARY,No!
STEVE ROGERS,Sam. He's in an AFV heading north.
BROCK RUMLOW,Take this to the airstrip. We're not gonna outrun them. Lose the truck.
MERCENARY #1,Where are you going to meet us?
BROCK RUMLOW,I’m not.
SAM WILSON,"I got four, they're splitting up."
NATASHA ROMANOFF,I got the two on the left.
STEVE ROGERS,They ditched their gear. It's a shell game now. One of them has the payload.
BROCK RUMLOW,"There you are, you son of a bitch. I’ve been waiting for this!"
SAM WILSON,He doesn't have it. I’m empty.
NATASHA ROMANOFF,Out of the way!
MERCENARY #1,Drop it. Or I’ll drop this. Drop it!
MERCENARY #2,He'll do it!
NATASHA ROMANOFF,"Payload secure. Thanks, Sam."
SAM WILSON,Don't thank me.
NATASHA ROMANOFF,I’m… not thanking that thing.
SAM WILSON,His name is Redwing.
NATASHA ROMANOFF,I'm still not thanking it.
SAM WILSON,"He's cute. Go ahead, pet him."
BROCK RUMLOW,Come on!
BROCK RUMLOW,This is for dropping a building on my face.
BROCK RUMLOW,"I think I look pretty good, all things considered."
STEVE ROGERS,Who's your buyer?
BROCK RUMLOW,"You know, he knew you. You pal, your buddy, your Bucky."
STEVE ROGERS,What did you say?
BROCK RUMLOW,"He remembered you. I was there. He got all weepy about it. Till they put his brain back in a blender. He wanted you to know something. He said to me, ""Please tell Rogers. When you gotta go, you gotta go."" And you're coming with me."
STEVE ROGERS,Oh my . . .  Sam . . . We need . . . Fire and Rescue . . . on the south side of the building. We gotta get up there.
MARIA STARK,"Try to remember the kind of September. When grass was green . . .  Wake up, dear, and say goodbye to your father."
HOWARD STARK,Who's the homeless person on the couch?
YOUNG TONY STARK,This is why I love coming home for Christmas . . . right before you leave town.
MARIA STARK,"Be nice, dear, he's been studying abroad."
HOWARD STARK,"Really, which broad? What's her name?"
YOUNG TONY STARK,Candice.
HOWARD STARK,Do me a favor? Try not to burn the house down before Monday.
YOUNG TONY STARK,"Okay, so it's Monday. That is good to know. I will plan my toga party accordingly. Where you going?"
MARIA STARK,You father's flying us to the Bahamas for a little getaway.
HOWARD STARK,We might have to make a quick stop.
YOUNG TONY STARK,"At the Pentagon. Right? Don't worry, you're gonna love the holiday menu at the commissary."
HOWARD STARK,"You know, they say sarcasm is a metric for potential. If that's true, you'll be a great man some day. I'll get the bags."
MARIA STARK,"He does miss you when you are not here. And frankly, you're going to miss us. Because this is the last time we're all going to be together. You know what's about to happen. Say something. If you don't, you'll regret it."
YOUNG TONY STARK,"I love you, Dad. And I know you did the best you could."
TONY STARK,"That's how I wished it happened. Binarily Augmented Retro-Framing, or BARF. God, I gotta work on that acronym. An extremely costly method of hijacking the hippocampus to . . . clear traumatic memories. Huh."
TONY STARK,"It doesn't change the fact that they never made it to the airport . . . or all the things I did to avoid processing my grief, but . . .  Plus, 611 million dollars for my little therapeutic experiment? No one in the right mind would've ever funded it."
TONY STARK,"Help me out, what's the MIT mission statement? ""To generate, disseminate . . . and preserve knowledge. And work with others . . . to bring it to bear on the world's great challenges."" Well, you are the others. And, quiet as it's kept . . . the challenges facing you are the greatest mankind's ever known. Plus, most of you are broke."
TONY STARK,"Oh, I'm sorry. Rather, you were. As of this moment . . . every student has been made an equal recipient of the Inaugural September Foundation Grant. As in . . . all of your projects have just been approved and funded."
TONY STARK,"No strings, no taxes… just re-frame the future! Starting now."
TONY STARK,Go break some eggs.
MIT TEACHER,"Wow. Wow. That uh . . . that took my breathe away. Oh, Tony! So generous. So much money! Wow! Out of curiosity . . . will any portion of that grant be made available to faculty? I know, ""Ooh, gross,"" but hear me out. I have got this killer idea for a self-cooking hot dog. Basically, chemical detonator embedded . . ."
TONY STARK,"Restroom's this way, yeah?"
MIT TEACHER,Yeah. Embedded in the meat shaft.
STARK'S ASSISTANT,"Mr. Stark, I am so sorry about the teleprompter. I didn't know Miss Potts had cancelled. They didn't have time to fix it."
TONY STARK,It's . . . fine. I'll be right back.
MIT TEACHER,We'll catch up later.
MRS. SPENCER,"That was nice, what you did for those young people."
TONY STARK,"Ah, they deserve it. Plus, it helps ease my conscience."
MRS. SPENCER,They say there's a correlation between generosity and guilt. But if you've got the money . . . break as many eggs as you like. Right?
TONY STARK,Are you going up?
MRS. SPENCER,I'm right where I want to be.
