character,line
ASGARDIAN PA,"This is the Asgardian refugee vessel Statesman. We are under assault, I repeat, we are under assault - The engines are dead, life support failing. Requesting aid from any vessel within range. We are 22 jump points out of Asgard.  Our crew is made up of Asgardian families, we have very few soldiers here. This is not a warcraft. I repeat, this is not a warcraft!"
EBONY MAW,"Hear me, and rejoice. You have had the privilege of being saved by the Great Titan.... You may think this is suffering... no. It is salvation. Universal scales tip toward balance because of your sacrifice. Smile...  for even in death, you have become Children of Thanos."
THANOS,"I know what it's like to lose. To feel so desperately that you're right... yet to fail, nonetheless.  It's frightening. Turns the legs to jelly. I ask you, to what end? Dread it. Run from it. Destiny arrives all the same. And now, it's here. Or should I say... I AM."
THOR,You talk too much.
THANOS,"The Tesseract, or your brother's head. I assume you have a preference."
LOKI,"Oh, I do. Kill away!"
LOKI,"ALL RIGHT, STOP!"
THOR,We don't have the Tesseract. It was destroyed on Asgard.
THOR,You really are the worst brother.
LOKI,"I assure you, brother... the sun will shine on us again."
THANOS,"Your optimism is misplaced, Asgardian."
LOKI,"Well, for one thing, I'm not Asgardian. And for another... we have a Hulk."
EBONY MAW,Let him have his fun.
HEIMDALL,Allfathers… let the dark magic flow through me one last... time.
THANOS,That was a mistake.
THOR,NO!!!  You're going to die for that!
EBONY MAW,Shh.
EBONY MAW,"My humble personage… bows before your grandeur. No other being has ever had the might, nay the nobility, to wield not one, but two Infinity Stones. The universe lies within your grasp."
THANOS,"There are two more Stones on Earth. Find them, my children, and bring them to me on Titan."
PROXIMA MIDNIGHT,"Father, we will not fail you."
CULL OBSIDIAN,"We're going to New York City and We will tear The Avengers Apart and Smash! Once and for all, my lord."
LOKI,"If I might interject… if you're going to Earth, you might want a guide. I do have a bit of experience in that arena."
THANOS,If you consider failure experience.
LOKI,"I consider experience, experience. Almighty Thanos, I... Loki... Prince of Asgard...  Odinson... the rightful King of Jotunheim... God of Mischief... do hereby pledge to you, my undying fidelity."
THANOS,"""Undying?"" You should choose your words more carefully."
LOKI,You will... never be... a god.
THOR,NO!
THANOS,No resurrections this time.
THOR,No… Loki….
STEPHEN STRANGE,Seriously? You don't have any money?
WONG,Attachment to the material is detachment from the spiritual.
STEPHEN STRANGE,I'll tell the guys at the deli.  Maybe they'll make you a metaphysical ham on rye.
WONG,"Oh, wait, wait, wait, I think I have 200."
STEPHEN STRANGE,Dollars?
WONG,Rupees.
STEPHEN STRANGE,Which is?
WONG,"Uh, buck and a half."
STEPHEN STRANGE,What do you want?
