character,line
TONY,"Oh, I get it.  You guys aren’t allowed to talk.  Is that it?  Are you not allowed to talk? One Airman grins, fidgeting with his orange NY Mets watch. "
JIMMY,No.  We’re allowed to talk. 
TONY,Oh.  I see.  So it’s personal. 
RAMIREZ,I think they’re intimidated. 
TONY,"Good God, you’re a woman. The others try to compress laughs. "
TONY,"I, honestly, I couldn’t have called that. (after silence) I would apologize, but isn’t that what we’re going for here? I saw you as a soldier first. "
JIMMY,"I have a question, sir. "
TONY,Please. 
JIMMY,Is it true you’re twelve for twelve with last years Maxim cover girls? 
TONY,"Excellent question. Yes and no. March and I had a schedule conflict but, thankfully, the Christmas cover was twins.  Anyone else? You, with the hand up. "
PRATT,It’s a little embarrassing. 
TONY,Join the club. 
PRATT,Can I take a picture with you? 
TONY,"Are you aware that Native Americans believe photographs steal a little piece of your soul?  Not to worry, mine’s long gone. Fire away. Pratt, excited, poses as another Airman snaps the photo.  A second later -- A MASSIVE EXPLOSION rocks them.  Through the windshield, the Humvee ahead of them erupts in a fireball. Tony is flung aside, and in the side-mirror -- The Humvee behind them EXPLODES.  Pandemonium as -- The Airmen are instantly in battle mode.  They scramble out, shutting Tony inside. "
PRATT,"STAY HERE! TONY’S POV - OF JIMMY: as he’s stitched by a bouncing Betty mine.  Now, running past, firing a .50 cal. machine gun is -- USAF Lt. Colonel JAMES “RHODEY” RHODES.  He looks in. "
RHODEY,"GET DOWN, TONY.  GET THE -- An EXPLOSION cuts him off.  Rhodey fires through the chaos, covering all directions, then advances into the murk. Another Hummer goes up in a fireball, and now -- Tony’s window blows in, spraying glass and shrapnel.  He scrambles for the door. Smoke.  Machine gun fire.  Tracers zip past.  SHOUTING. Tony ducks, scampering along.  He spots an M-16, picks it up, but the weapon is burning hot.  He drops it, moves on when-- Something PINGS off a smoldering Humvee and thuds in the dirt near him.  He spins and we -- SNAP ZOOM TO: an RPG, revealing its pedigree, “USM 11676 - STARK MUNITIONS.”  Just as we suspect it’s a dud, it DETONATES and -- Throws Tony back, shredding his suit and revealing his body armor underneath.  Over the chatter of SMALL ARMS FIRE we -- Tony snaps awake.  He’s tied to a chair, bloody rags covering his chest.  Two Insurgents flank a DV camera.  Behind Tony -- A line of armed hooded men and a banner showing ten interlocked rings.  The Leader, a huge Choori knife in one PUSH IN ON - THE DV CAMERA VIEWFINDER: until the image of a desperate Tony breaks up into pixel chaos. The attack on Pearl Harbor.  FDR gives an impassioned speech. "
NARRATOR,"December 7, 1941: the day the world changed forever. President Roosevelt declares the United States will build fifty thousand planes to fight the armies of Hirohito and Hitler-- S.S. Officers goose-step through Paris. "
NARRATOR,"Although no such capacity to build existed... 1940s L.A., an unassuming hangar reads: “STARK INDUSTRIES.” "
NARRATOR,"Howard Stark, founder of the fledgling Stark Industries, answers his call to duty -- A Young Howard Stark shakes FDR’s hand. "
NARRATOR,"And builds not fifty, but a hundred thousand planes. An airfield covered in B-29s.  Stark bombers in flight, strewing bombs and paratroopers across the sky. "
NARRATOR,"Later, Stark’s work on the Manhattan project makes the end of the war possible. A mushroom cloud in the New Mexico desert.  Howard Stark observes with Oppenheimer. "
NARRATOR,"Stark Industries would go on to contribute to every major weapons system through the Cold War -- Korean War, B-52s, ICBMS, nuclear subs, F-16s launching from carriers.  Howard Stark with Kennedy, Johnson, Nixon. "
NARRATOR,"But Howard Stark’s greatest achievement would come in 1973-- President Ford, holding baby Tony, posing with Howard.  Four year-old Tony building a massive building-block city.  Howard and twelve year-old Tony assembling a hot-rod engine. "
NARRATOR,
NARRATOR,"From early on, it was clear that Tony Stark had a unique gift-- Tony working on TURBINE ENGINES in a hangar full of F-18s. "
NARRATOR,"At seventeen he graduated summa cum laude from MIT.  Four years later, tragedy would pass the Stark mantle from father to son-- Howard’s funeral.  Tony with Reagan, Bush Sr. and Clinton. "
NARRATOR,The loss of a titan.  But Tony did not let personal grief distract him from his duty -- Tony cuts the ribbon on a brand new ARK REACTOR at Stark Industries West Coast HQ. 
NARRATOR,"At twenty-one, he became the youngest-ever CEO of a Fortune 500 company.  And with it came a new mandate -- A laser-guided bomb hits its target. "
NARRATOR,"Smarter weapons, fewer casualties. A dedication to preserving life. A visual crescendo of America’s modern military might. "
NARRATOR,"Today Tony Stark’s ingenuity continues to protect freedom and American interest around the globe. A waving American flag superimposed with an Annie Liebowitz portrait of Tony.  And as it fades out, APPLAUSE, then -- A light shines on a podium, revealing Lt. Colonel Rhodes. "
RHODEY,"As Program Manager and Liaison to Stark Industries, I’ve had the honor of serving with a real patriot, a man whose life has been dedicated to protecting our troops on the front lines.  He’s a friend. And a great mentor.  A man who has always been there for his friends and his country.  Ladies and gentlemen, this year’s ARES Award winner -- Mr. Tony Stark. THUNDEROUS APPLAUSE. A spotlight fixes on Tony Stark -- or rather -- his empty chair.  Applause wanes, lights fade up -- Military brass, politicians, movers and shakers.  Heads swivel and MURMUR -- where’s Tony? OBADIAH STANE (50s), CFO of Stark Industries, regards the empty chair.  He makes his way to the podium.  Awkward. "
OBADIAH,"Thank you...I, uhhh, I’m not Tony Stark, but if I were Tony, I’d tell you how honored I am and...what a joy it is to receive this award. The best thing about Tony is also the worst thing -- he’s always working. ECU: tumbling red dice on a green felt. Tony plays craps, a crowd erupting as they all win big. Chips pile up.  Tony’s flanked on both sides by lucky ladies. In between rolls, he whispers into one Woman’s ear -- "
TONY,"...you think we’re having a ‘moment’ here, but this is actually the logical conclusion of several mathematical truisms. Your hypothalamus is flooding your system with a chain of proteins called peptides, so that every cell in your body is opening itself up to the happy chemical: oxytocin. "
WOMAN,(seriously turned on) That’s...wow.... 
TONY,Hold on a second -- He rolls again.  The table is hot.  More cheers. 
TONY,"-- so now your limbic system is positively...throbbing.  A Kirlian photograph of us right now, occupying this space, would show serious subatomic particles being exchanged between us, with a rapidity that transcends-- Are you getting this?  You will be quizzed -- And now he sees Rhodey pulling up, glowering. "
TONY,"My God, what are you, they roped you into this thing too? "
