character,line
,
STEVE ROGERS,On your left.
,
STEVE ROGERS,On your left.
SAM WILSON,"Uh-huh, on my left. Got it."
,
SAM WILSON,Don't say it! Don't you say it!
STEVE ROGERS,On your left!
SAM WILSON,Come on!
,
,
STEVE ROGERS,Need a medic?
,
SAM WILSON,"I need a new set of lungs. Dude, you just ran like 13 miles in 30 minutes."
STEVE ROGERS,I guess I got a late start.
SAM WILSON,"Oh, really? You should be ashamed of yourself. You should take another lap."
,
SAM WILSON,Did you just take it? I assumed you just took it.
STEVE ROGERS,What unit you with?
SAM WILSON,"58, Pararescue. But now I'm working down at the VA."
,
SAM WILSON,Sam Wilson.
,
STEVE ROGERS,Steve Rogers.
SAM WILSON,Yeah I kind of put that together. Must have freaked you out coming home after the whole defrosting thing.
STEVE ROGERS,"It takes some getting used to. It's good to meet you, Sam."
,
SAM WILSON,"It's your bed, right?"
STEVE ROGERS,What's that?
SAM WILSON,"Your bed, it's too soft. When I was over there I'd sleep on the ground and use rock for pillows, like a caveman. Now I'm home, lying in my bed, and it's like..."
STEVE ROGERS,Lying on a marshmallow. Feel like I'm gonna sink right to the floor.
,
STEVE ROGERS,How long?
SAM WILSON,Two tours.
,
SAM WILSON,"You must miss the good old days, huh?"
STEVE ROGERS,"Well, things aren't so bad. Food's a lot better, we used to boil everything. No polio is good. Internet, so helpful. I've been reading that a lot trying to catch up."
,
SAM WILSON,"Marvin Gaye, 1972, ""Trouble Man"" soundtrack. Everything you've missed jammed into one album."
STEVE ROGERS,I'll put it on the list.
,
(STEVE GETS A TEXT MESSAGE,"""Mission alert. Extraction imminent. Meet at the curb. :)"")"
STEVE ROGERS,"Alright, Sam, duty calls. Thanks for the run. If that's what you wanna call running."
,
SAM WILSON,"Oh, that's how it is?"
STEVE ROGERS,"Oh, that's how it is."
SAM WILSON,"(He laughs.) Okay. Any time you wanna stop by the VA, make me look awesome in front of the girl at the front desk, just let me know."
STEVE ROGERS,I'll keep it in mind.
SAM WILSON,Okay.
,
NATASHA ROMANOFF,"Hey, fellas. Either one of you know where the Smithsonian is? I'm here to pick up a fossil."
STEVE ROGERS,That's hilarious.
,
SAM WILSON,How you doing?
NATASHA ROMANOFF,Hey.
STEVE ROGERS,Can't run everywhere.
SAM WILSON,"No, you can't."
,
,
BROCK RUMLOW,"The target is a mobile satellite launch platform: The Lemurian Star. They were sending up their last payload when pirates took them, 93 minutes ago."
STEVE ROGERS,Any demands?
BROCK RUMLOW,A billion and a half.
STEVE ROGERS,Why so steep?
BROCK RUMLOW,Because it SHIELD's.
STEVE ROGERS,"So it's not off-course, it's trespassing."
NATASHA ROMANOFF,I'm sure they have a good reason.
STEVE ROGERS,"You know, I'm getting a little tired of being Fury's janitor."
NATASHA ROMANOFF,"Relax, it's not that complicated."
STEVE ROGERS,How many pirates?
BROCK RUMLOW,"Twenty-five, top mercs, led by this guy. Georges Batroc."
,
BROCK RUMLOW,"Ex-DGSE, Action Division. He's at the top of Interpol's Red Notice. Before the French demobilized him, he had thirty-six kill missions. This guy's got a rep for maximum casualties."
STEVE ROGERS,Hostages?
BROCK RUMLOW,"Uh...mostly techs. One officer, Jasper Sitwell."
,
BROCK RUMLOW,They're in the galley.
STEVE ROGERS,"What's Sitwell doing on a launch ship? Alright, I'm gonna sweep the deck and find Batroc. Nat, you'll kill the engines and wait for instructions. Rumlow, you sweep aft, find the hostages, get them to the life-pods, get 'em out. Let's move."
BROCK RUMLOW,"STRIKE, you heard the Cap. Gear up."
STEVE ROGERS,Secure channel seven.
