,0,words,is_character_name,is_dialogue
295,M.P.,1,0,0
378,RELENTLESS.,1,0,0
33,THOR,1,0,0
303,ENOUGH!,1,0,0
85,KORG,1,0,0
43,THANOS,1,0,0
251,QUILL,1,0,0
217,SECURITY,1,0,0
208,MEDIC!,1,0,0
51,JIMMY,1,0,0
56,CLACK-CLACK-CLACK-CLACK-CLACK-CLACK-CLACK...,1,0,0
192,LOKI/STEVE,1,0,0
60,OKOYE,1,0,0
61,(MORE),1,0,0
184,LOKI,1,0,0
176,GAMORA,1,0,0
166,FRIGGA,1,0,0
69,KID,1,0,0
70,FRIDAY,1,0,0
164,MAIDEN,1,0,0
135,LILA!,1,0,0
130,FUTURE!,1,0,0
118,RONIN,1,0,0
117,AKIHIKO,1,0,0
385,AAARRRGH!,1,0,0
26,ROCKET,1,0,0
287,AGENT.,1,0,0
84,VALKYRIE,1,0,0
11,NEBULA,1,0,0
476,WANDA,1,0,0
467,T’CHALLA,1,0,0
10,TONY,1,0,0
9,BLACKNESS.,1,0,0
19,RHODEY,1,0,0
511,GROOT,1,0,0
561,SNAP!,1,0,0
7,LAURA!,1,0,0
581,MANTIS,1,0,0
580,DRAX,1,0,0
22,NATASHA,1,0,0
14,STEVE,1,0,0
438,WONG,1,0,0
488,CORVUS GLAIVE,2,0,0
157,ANCIENT ONE,2,0,0
165,JANE FOSTER,2,0,0
579,HAPPY HOGAN,2,0,0
177,BAD NEBULA,2,0,0
162,ASTRAL BANNER,2,0,0
185,AVENGERS TABLEAU.,2,0,0
187,A1 NATASHA,2,0,0
585,BUCKY BARNES,2,0,0
188,A1 STEVE,2,0,0
588,I’M TRYING!,2,0,0
103,TELESCOPING BLADE.,2,0,0
501,RESCUES HIM.,2,0,0
190,BROCK RUMLOW,2,0,0
163,GREEN DRESS.,2,0,0
426,SAM WILSON,2,0,0
194,A1 TONY,2,0,0
437,DR. STRANGE,2,0,0
328,WHERE’S NAT?!,2,0,0
313,RED SKULL,2,0,0
312,HOODED FIGURE,2,0,0
311,FIGURE APPROACHES.,2,0,0
309,TOWARD...THE MOUNTAIN.,2,0,0
299,EDWIN JARVIS,2,0,0
298,MALE AGENT,2,0,0
297,PEGGY CARTER,2,0,0
293,HANK PYM,2,0,0
193,A1 THOR,2,0,0
289,HOWARD STARK,2,0,0
281,STAN LEE,2,0,0
258,BLACKENED CLAW.,2,0,0
452,SAKAARAN WAITS.,2,0,0
235,EBONY MAW,2,0,0
458,ENEMY LINES.,2,0,0
215,WHERE’S LOKI?,2,0,0
205,ALEXANDER PIERCE,2,0,0
198,AGENT SITWELL,2,0,0
196,A1 HULK,2,0,0
424,MUFFLED VOICE,2,0,0
450,PETER PARKER,2,0,0
195,ATTACHE CASE.,2,0,0
590,OLD STEVE,2,0,0
16,PEPPER POTTS,2,0,0
4,LILA BARTON,2,0,0
64,MORGAN STARK,2,0,0
80,SCRAPING SOUND.,2,0,0
31,BRUCE BANNER,2,0,0
68,SMART HULK,2,0,0
5,LAURA BARTON,2,0,0
57,CASSIE LANG,2,0,0
55,SCOTT LANG,2,0,0
3,CLINT BARTON,2,0,0
52,OLDER MAN,2,0,0
50,GRIEVING MAN,2,0,0
25,CAROL DANVERS,2,0,0
1,AVENGERS: ENDGAME,2,0,0
201,SO MANY STAIRS!,3,0,0
202,"MASK, REVEALING...OUR TONY.",3,0,0
482,I GOT IT!,3,0,0
267,I AM INEVITABLE.,3,0,0
266,I AM INEVITABLE-,3,0,0
233,NEBULA’S BODY TWITCHES.,3,0,0
389,MAYDAY!  MAYDAY!,3,0,0
189,A1 CLINT BARTON,3,0,0
252,ELECTRONIC LOCK PICK.,3,0,0
288,FEMALE SHIELD AGENT,3,0,0
576,PAST BUCKY BARNES...,3,0,0
147,ILLUMINATE EACH PAD.,3,0,0
232,THE SANCTUARY-2 LOOMS.,3,0,0
428,IT FLIES...SAM WILSON.,3,0,0
144,THEIR TIME SUITS.,3,0,0
75,OPEN VAN DOORS.,3,0,0
465,CARRYING THE GAUNTLET.,3,0,0
429,MORE PORTALS OPEN.,3,0,0
461,HOPE VAN DYNE,3,0,0
307,"MAJESTIC, PURPLE PLANET.",3,0,0
364,IRON PATRIOT HELMET.,3,0,0
420,ACROSS THE FIELD.,3,0,0
564,"THEMSELVES, ATOMS DISINTEGRATING.",3,0,0
528,CLOSER AND CLOSER TO...,4,0,0
433,GROOT...AND THE WAKANDAN ARMY.,4,0,0
39,"FIRE, GRABBING THANOS’ GAUNTLET...",4,0,0
89,OF THEIR TATTOOED HANDS.,4,0,0
199,THEIR EYES GO WIDE.,4,0,0
170,RHODEY SCANS THE LANDSCAPE.,4,0,0
514,"OTHER SIDE, REVEALING...CAROL DANVERS.",4,0,0
343,AS SHE HURRIES AWAY...,4,0,0
550,"CAROL, SENDING HER FLYING.",4,0,0
244,"HEAD, ABOUT TO JAB...",4,0,0
440,AS...GIANT-MAN BURSTS FROM BELOW.,4,0,0
470,"CHITAURI, TOWARD LUIS’ VAN.",4,0,0
453,"HE APPROACHES, OVERWHELMED, EMOTIONAL.",4,0,0
101,OFF THE STAIRS AS...,4,0,0
487,CORVUS GLAIVE FIGHTS GROOT.,4,0,0
534,THANOS THROWS THE SPEAR...,4,0,0
79,2-YEAR OLD SCOTT APPEARS.,4,0,0
305,JAGGED INSTRUMENT OF TORTURE.,4,0,0
369,TONY DEPLOYS HIS ARMOR.,4,0,0
415,"ASIDE, HEAD-BUTTING STEVE BACKWARDS.",4,0,0
292,PRE-LAP A RINGING PHONE...,4,0,0
283,SOLDIERS MARCH PAST AS...,4,0,0
53,"LANG, KITCHEN, S. LANG, CLOTHES.”",5,0,0
171,"MOVE IN ON RHODEY, CONCERNED.",5,0,0
381,ERAS STARE AT EACH OTHER.,5,0,0
390,HANG ON!  I’M COMING!,5,0,0
497,THE SANCTUARY-2 MAINTAINS ITS BARRAGE.,5,0,0
575,PAST THOR AND SMART HULK...,5,0,0
46,OVER BLACK: “FIVE YEARS LATER.”,5,0,0
384,"ROCKET SURFACES FROM BELOW, GASPING.",5,0,0
383,PIPE AS THE WATER RISES.,5,0,0
572,EXT BARTON HOME - DAY,5,0,0
278,STEVE HANDS SCOTT THE STAFF.,5,0,0
42,SWINGS STORMBREAKER...CUTTING OFF THANOS’ HAND.,5,0,0
291,"SAUERKRAUT.  TONY STARES, STUNNED.",5,0,0
317,"SHE REVERSES, SENDING HIM TUMBLING.",5,0,0
332,ROCKET FINE TUNE THE GLOVE.,5,0,0
347,"OFF, ROLLING ACROSS THE FLOOR.",5,0,0
349,JUST THEN...A CELL PHONE BUZZES.,5,0,0
214,"A1 THOR LOOKS UP, REALIZING...",5,0,0
583,A NEW QUANTUM TUNNEL (3.0).,5,0,0
355,THE UNDERGROUND GARAGE LIES HALF-COLLAPSED.,5,0,0
431,PARKER...AND KRAGLIN AND THE RAVAGERS.,5,0,0
539,LYING UNGUARDED IN THE DIRT.,5,0,0
110,"AKIHIKO, LEAPS OVER THE SIDEWALK...",5,0,0
120,KEEPING HER FROM THE RAIN.,5,0,0
537,THANOS CATCHES PROXIMA’S RETURNING SPEAR.,5,0,0
78,SUDDENLY SCOTT REAPPEARS...BUT HE’S 12-YEARS-OLD.,5,0,0
105,FIGHTS ANOTHER THUG.  THEN...,5,0,0
140,OF “HUNKA HULKA BURNING FUDGE.”,5,0,0
124,WHY DOES EVERYONE THINK THIS?,5,0,0
132,"SHRINKS, AND VANISHES.  WHOOSH.",5,0,0
425,RETURNS...AND THE WORDS RING CLEAR:,5,0,0
523,"FROM HER, AND STARTS RUNNING...",5,0,0
127,"YOUR PRESENT, AND YOUR FORMER",5,0,0
123,INTO THE TIME SUIT’S BELT.,5,0,0
589,"EXT AVENGERS COMPOUND, RIVERBANK - CONTINUOUS",6,0,0
128,"PRESENT HAS BECOME THE PAST, WHICH",6,0,0
40,PREVENTING THANOS FROM CLOSING HIS FIST.,6,0,0
286,"ILLUMINATING...TWENTY FLOORS OF SECRET, UNDERGROUND BASE.",6,0,0
531,JUST YARDS AWAY FROM THE GOAL.,6,0,0
277,STEVE STUDIES TONY A LONG MOMENT...,6,0,0
525,BLASTS HIM OUT OF THE SKY.,6,0,0
121,"TUNNEL (2.0), AFFIXED WITH TONY’S CAPACITOR.",6,0,0
216,"SHIELD TEAMS FAN OUT, ON ALERT.",6,0,0
36,CARTER’S YELLOWED PHOTO STILL RESTS INSIDE.,6,0,0
271,THANOS STUDIES HIS SEVERED HEAD...AND SMILES.,6,0,0
270,“NEBULA” STARES AT HER DEAD FATHER.,6,0,0
268,"THROUGH THE HOLOGRAM, STUDYING THE HEROES.",6,0,0
264,"THANOS SMIRKS, PUTTING THE PIECES TOGETHER.",6,0,0
263,PLAY OUT IN FRONT OF HIM.,6,0,0
2,CLOSE ON: A HOUSE-ARREST ANKLE BRACELET.,6,0,0
386,"THE BUILDING RIGHTS ITSELF, LEVELING OUT.",6,0,0
574,"PAST STEVE, SAM, RHODEY, AND WANDA...",6,0,0
238,PROJECTING AN IMAGE OF AVENGERS COMPOUND:,6,0,0
275,"DESPERATE, HEADING FOR THE ESCAPE POD.",6,0,0
376,"ATTACK, USING THEIR SKILLS IN CONCERT.",6,0,0
296,THE OTHER IS OF SKINNY STEVE.,6,0,0
302,"MOVE IN ON GAMORA, WHEELS TURNING...",6,0,0
8,"CLINT MELTS DOWN, SPINNING AROUND, FRANTIC...",6,0,0
404,AGAINST THE ONCOMING HAMMER.  WHACK!,6,0,0
83,EARTHLY CLOTHES EYE THEM WITH SUSPICION.,6,0,0
181,"STRIDE, THANOS SLICES IT IN TWO.",6,0,0
97,"ANOTHER MOTORCYCLE RACES TOWARD US, BUT...",6,0,0
341,A BLAST WHITES OUT THE SCREEN.,6,0,0
399,BACK OF THE IRON MAN SUIT.,6,0,0
186,REVEAL TINY SCOTT ON TONY’S SHOULDER.,6,0,0
584,THE SIX INFINITY STONES GLOW INSIDE.,6,0,0
152,ROLLS TOWARD THE EDGE...AND DROPS OFF-,6,0,0
316,"OUT HER LEGS, PINNING HER DOWN.",6,0,0
507,HEROES.  ALL HOPE IS LOST.,6,0,0
174,KORBINITE RIFLEMEN BEAR DOWN ON HER.,6,0,0
126,"THE PAST, THEN THAT PAST HAS BECOME",7,0,0
247,"THEN, WHOOSH!  THOR AND ROCKET DISAPPEAR.",7,0,0
462,"TONY FLIES UP TO DR. STRANGE, HOVERING.",7,0,0
463,ACROSS THE FIELD...EBONY MAW RUSHES TO THANOS.,7,0,0
246,A TROOP OF EINHERJAR CHASE AFTER HIM.,7,0,0
423,"Q-SHIPS, DROPSHIPS, NECROCRAFT, AND LEVIATHANS BUZZ ABOVE.",7,0,0
489,"HIGH ABOVE...THE SANCTUARY-2 DESCENDS, CANNONS OPENING UP.",7,0,0
460,"VAN, AIR AND GROUND CHOKED WITH ENEMIES.",7,0,0
352,CARDINALS AND FINCHES NIBBLE ON THE SEED.,7,0,0
262,"THANOS STUDIES HIS HOLO-FUTURE-SELF, WATCHING HIS DESTINY",7,0,0
573,PEPPER RESTS THE FLOWERS ON THE WATER.,7,0,0
28,RHODEY STEPS OUT OF THE HOSPITAL ROOM.,7,0,0
335,"FINALLY, SMART HULK HOLDS UP THE GAUNTLET.",7,0,0
449,GIANT-MAN SLUGS A LEVIATHAN IN THE JAW.,7,0,0
533,AS SHE REACHES THE GAPING VAN DOORS...,7,0,0
30,"IDENTICAL SURGE ENVELOPING A MYSTERIOUS, ORANGE PLANET.",7,0,0
568,"HIS ATOMS DISSOLVE.  FINALLY, THANOS DISAPPEARS.",7,0,0
319,THE CLIFF.  SHE’S HALFWAY THERE WHEN...,7,0,0
321,SHOOTS HER GRAPPLING LINE INTO THE CLIFF.,7,0,0
265,"HE STEPS FORWARD, FINISHING HIS OWN THOUGHT.",7,0,0
414,AND SENDS IT CRACKLING INTO THANOS’ BODY.,7,0,0
322,WHOOSH!  THE WHOLE WORLD GOES WHITE.,7,0,0
324,GROWS INTO THE PRESENT ALONGSIDE THE OTHERS:,7,0,0
29,ENERGY ENVELOPS THE PLANET (EMANATING FROM WAKANDA).,7,0,0
329,"PULL BACK, LEAVING OUR MOURNERS IN TABLEAU...",7,0,0
301,BAD NEBULA RIPS OFF HER TIME-SPACE GPS.,7,0,0
333,"NEBULA, STARING UP AT THE WAITING MACHINE.",7,0,0
446,SUIT AS OUR HEROES FLOOD THE FIELD.,7,0,0
494,THE RIVERBANK THREATENS TO COLLAPSE.  SUDDENLY...,7,0,0
401,"PROPELLERS HIS BLADE, HOLDING BACK THE BLAST.",7,0,0
145,THE HEROES GATHER ON THE QUANTUM PLATFORM.,7,0,0
499,THE HAMMER PULL HIM OUT OF DANGER.,7,0,0
223,BLACKENED RIVER BRANCHES OFF FROM THE FIRST.,7,0,0
