,0,words,is_character_name,is_dialogue
22,COUNCILWOMAN,1,0,0
30,TONY,1,0,0
28,PEPPER,1,0,0
26,STEVE,1,0,0
25,SCIENTIST,1,0,0
65,NO!,1,0,0
81,BY-,1,0,0
52,PILOT,1,0,0
21,COUNCILMAN,1,0,0
82,HULK,1,0,0
19,BANNER,1,0,0
86,REPORTER,1,0,0
31,TOWER.,1,0,0
14,NATASHA,1,0,0
62,GRENADE!,1,0,0
32,JARVIS,1,0,0
94,HUSBAND,1,0,0
11,LOKI,1,0,0
106,THANOS.,1,0,0
95,WIFE,1,0,0
9,BARTON,1,0,0
8,SELVIG,1,0,0
56,NOVAR,1,0,0
5,FURY,1,0,0
98,WAITRESS,1,0,0
42,THOR,1,0,0
105,CREDITS.,1,0,0
70,SHIELD ENGINEER,2,0,0
61,SHIELD AGENT,2,0,0
60,MAINTENANCE GUY,2,0,0
64,SHIELD WORKER,2,0,0
67,SECURITY GUARD,2,0,0
107,CREDITS ROLL.,2,0,0
0,THE OTHER,2,0,0
75,POLICE SERGEANT,2,0,0
79,FOLLOWING SHOT:,2,0,0
84,JET PILOT,2,0,0
91,MALE REPORTER,2,0,0
92,MALE CITIZEN,2,0,0
93,FEMALE CITIZEN,2,0,0
96,STAN LEE,2,0,0
97,THE SENATOR,2,0,0
99,COUNCILMAN 2,2,0,0
74,YOUNG COP,2,0,0
49,RESPECT WHAT!,2,0,0
108,FADE BLACK.,2,0,0
17,CALCUTTA WOMAN,2,0,0
34,HELICARRIER INTERCOM,2,0,0
35,CARRIER BRIDGE,2,0,0
36,TECH 1,2,0,0
37,FEMALE CARRIER,2,0,0
38,BRIDGE TECH,2,0,0
39,MALE AGENT,2,0,0
7,MARIA HILL,2,0,0
10,NASA SCIENTIST,2,0,0
6,AGENT COULSON,2,0,0
13,GEORGI LUCHKOV,2,0,0
15,WEASELLY THUG,2,0,0
16,END INTERCUT,2,0,0
24,PEGGY CARTER,2,0,0
23,CAPTAIN AMERICA,2,0,0
18,YOUNG GIRL,2,0,0
1,INTERCOM VOICE,2,0,0
27,IRON MAN,2,0,0
33,FACELESS PILOT,2,0,0
89,CUTAWAY TO CAP:,3,0,0
88,BACK IN SPACE:,3,0,0
73,BACK TO OVERPASS:,3,0,0
83,ON IRON MAN:,3,0,0
72,INSIDE THE QUINJET:,3,0,0
71,INSIDE QUINJET COCKPIT:,3,0,0
66,INSIDE THE HELMET:,3,0,0
87,CUTAWAY TO EARTH:,3,0,0
63,YOUNG SHIELD PILOT,3,0,0
58,OFF SCREEN WORKER,3,0,0
40,AGENT JASPER SITWELL,3,0,0
4,ACCELERATOR TEST FACILITY,3,0,0
41,GERMAN OLD MAN,3,0,0
103,CUTAWAY TO STEVE:,3,0,0
51,THAT’LL BE GOOD!,3,0,0
104,BACK TO FURY:,3,0,0
44,BACK TO SCENE:,3,0,0
48,SHOW SOME RESPECT.,3,0,0
68,SERIES OF SHOTS:,3,0,0
90,ON CAP AND THOR:,4,0,0
100,CUTAWAY TO CENTRAL PARK:,4,0,0
46,YOU’RE NOT MY CHAMPION!,4,0,0
77,BACK TO IRON MAN:,4,0,0
20,STOP LYING TO ME!,4,0,0
47,THREAT! I FEEL THREATENED!,4,0,0
76,CUTAWAY TO IRON MAN:,4,0,0
29,INSIDE IRON MAN HEADSET:,4,0,0
43,INSIDE IRON MAN HELMET:,4,0,0
59,CARRIER BRIDGE TECH 1,4,0,0
57,FEMALE CARRIER BRIDGE TECH,4,0,0
50,"YEAH MAN HANDLE ME NOW,",5,0,0
45,A HIGHER FORM OF WAR.,5,0,0
69,END OF SERIES OF SHOTS,5,0,0
101,CUT BACK TO CENTRAL PARK:,5,0,0
53,WHERE? YOU RENTED MY ROOM!,5,0,0
102,BACK TO DARK ROOM WITH FURY:,6,0,0
55,"YOU CAN’T, I KNOW, I TRIED!",6,0,0
12,DIMLY LIT UNDERGROUND TUNNEL - CONTINUOUS,6,0,0
78,CUTAWAY: NATASHA ON A FLYING CRAFT,6,0,0
3,"PEGASUS, NASA SPACE RADIATION FACILITY, S.H.I.E.L.D",6,0,0
85,"SIR, WE HAVE A BIRD IN MOTION!",7,0,0
2,JOINT DARK ENERGY MISSION; WESTERN DIVISION; PROJECT,7,0,0
80,"CREATURE, AND I WILL NOT BE BULLIED",7,0,0
54,IN CASE YOU NEEDED TO KILL ME. BUT,8,0,0
