,0,words,is_character_name,is_dialogue
250,BUCKY,1,0,0
175,AFTERNOON,1,0,0
177,ABANDONED,1,0,0
74,WAKANDANS,1,0,0
179,SCRAPYARD.,1,0,0
181,FLASHBACK,1,0,0
184,MINE.,1,0,0
69,NOT,1,0,0
67,MERCHANT,1,0,0
66,"I,",1,0,0
65,ZURI,1,0,0
63,CROWD,1,0,0
188,I,1,0,0
189,EVERYTHING.,1,0,0
60,WAKANDAN,1,0,0
190,SPEARHEAD.,1,0,0
58,LIMBANI,1,0,0
117,TOUGHS.,1,0,0
56,LINDA,1,0,0
193,BLADE,1,0,0
53,GER,1,0,0
52,KILLMON,1,0,0
78,M'BAKU,1,0,0
170,GLASS.,1,0,0
167,BOOM!,1,0,0
164,KLAUE'S,1,0,0
111,ROSS,1,0,0
122,DOWNSTAIRS,1,0,0
123,CHAOS.,1,0,0
124,BOOOOM,1,0,0
106,METAL,1,0,0
249,CHILDREN,1,0,0
103,NA.KIA,1,0,0
102,NECKLACE.,1,0,0
129,GRIOT,1,0,0
130,HOLOGRAM,1,0,0
51,KILLMONGER,1,0,0
97,W'KABI,1,0,0
147,DRIVER,1,0,0
94,T'CHAKA,1,0,0
93,T'CHAKA.,1,0,0
92,A,1,0,0
148,SUV.,1,0,0
88,CHOKES.,1,0,0
86,COLOSSAL,1,0,0
85,KNOCKS,1,0,0
84,KICK.,1,0,0
83,LOUDER!,1,0,0
145,TRACTOR-,1,0,0
195,STANDS,1,0,0
57,KLAUE,1,0,0
222,"RHINO,",1,0,0
218,DRAGONFLYER,1,0,0
219,HORN.,1,0,0
28,I/E.,1,0,0
9,DIE,1,0,0
27,DOG.,1,0,0
220,NOO!!,1,0,0
25,MONOCULAR,1,0,0
235,DAY,1,0,0
221,WRECKAGE,1,0,0
22,WHAM,1,0,0
21,NIGHT,1,0,0
20,T'CHALLA,1,0,0
225,SHURI/NAKIA,1,0,0
18,OKOYE,1,0,0
226,AIRSPACE,1,0,0
229,SPEAR,1,0,0
10,OUT.,1,0,0
217,DOWNHILL,1,0,0
234,GIOT,1,0,0
248,CHILD,1,0,0
6,JAMES,1,0,0
212,AIRCRAFT.,1,0,0
35,RIFLE,1,0,0
211,I.,1,0,0
5,N'JOBU,1,0,0
37,NAKIA,1,0,0
4,TV.,1,0,0
46,AYO,1,0,0
208,YAK.,1,0,0
2,FATHER,1,0,0
7,LARGE,1,0,0
47,SHURI,1,0,0
1,SON,1,0,0
201,SHAMAN,1,0,0
45,RAMONDA,1,0,0
127,LEXUS LC.,2,0,0
240,TAG 1,2,0,0
133,SCREAMS OFF.,2,0,0
118,ON T'CHALLA,2,0,0
143,HEAVY GUNFIRE.,2,0,0
120,STAND DOWN!,2,0,0
243,FRENCH AMBASSADOR,2,0,0
244,TAG 2,2,0,0
199,ON NA.KIA,2,0,0
152,SONIC DISRUPTER.,2,0,0
194,IN THE,2,0,0
202,"N'JOBU'S JOURNAL,",2,0,0
203,YOUNG KILLMONGER,2,0,0
205,", I",2,0,0
209,M' BAKU,2,0,0
210,T' CHAKA,2,0,0
187,SHURI'S PROJECTION,2,0,0
232,A MASSIVE,2,0,0
185,OKOYE'$ PROJECTION,2,0,0
216,PANTHER SUIT,2,0,0
180,SEVERAL AFRICAN,2,0,0
176,W' KABI,2,0,0
166,CIA AGENT,2,0,0
196,CHALLENGE POOL,2,0,0
163,SPARKS FLYING.,2,0,0
