,0,words,is_character_name,is_dialogue
190,BUCKY,1,0,0
75,T'CHAKA.,1,0,0
74,A,1,0,0
73,CHOKES.,1,0,0
137,EVERYTHING.,1,0,0
71,COLOSSAL,1,0,0
70,KNOCKS,1,0,0
69,KICK.,1,0,0
68,LOUDER!,1,0,0
138,SPEARHEAD.,1,0,0
141,BLADE,1,0,0
143,STANDS,1,0,0
63,M'BAKU,1,0,0
149,SHAMAN,1,0,0
59,WAKANDANS,1,0,0
154,YAK.,1,0,0
111,TRACTOR-,1,0,0
52,MERCHANT,1,0,0
51,"I,",1,0,0
50,ZURI,1,0,0
76,T'CHAKA,1,0,0
136,I,1,0,0
78,W'KABI,1,0,0
81,NECKLACE.,1,0,0
112,DRIVER,1,0,0
106,HOLOGRAM,1,0,0
105,GRIOT,1,0,0
113,SUV.,1,0,0
101,BOOOOM,1,0,0
100,CHAOS.,1,0,0
99,DOWNSTAIRS,1,0,0
120,KLAUE'S,1,0,0
189,CHILDREN,1,0,0
48,CROWD,1,0,0
94,TOUGHS.,1,0,0
125,GLASS.,1,0,0
127,AFTERNOON,1,0,0
89,ROSS,1,0,0
129,ABANDONED,1,0,0
130,SCRAPYARD.,1,0,0
85,METAL,1,0,0
132,FLASHBACK,1,0,0
133,MINE.,1,0,0
82,NA.KIA,1,0,0
122,BOOM!,1,0,0
157,I.,1,0,0
54,NOT,1,0,0
45,LIMBANI,1,0,0
167,"RHINO,",1,0,0
168,SHURI/NAKIA,1,0,0
169,AIRSPACE,1,0,0
23,I/E.,1,0,0
46,WAKANDAN,1,0,0
172,SPEAR,1,0,0
20,MONOCULAR,1,0,0
18,WHAM,1,0,0
17,NIGHT,1,0,0
16,T'CHALLA,1,0,0
27,RIFLE,1,0,0
15,OKOYE,1,0,0
177,DAY,1,0,0
9,OUT.,1,0,0
8,DIE,1,0,0
188,CHILD,1,0,0
6,LARGE,1,0,0
5,JAMES,1,0,0
4,N'JOBU,1,0,0
3,TV.,1,0,0
2,FATHER,1,0,0
1,SON,1,0,0
176,GIOT,1,0,0
166,WRECKAGE,1,0,0
22,DOG.,1,0,0
165,NOO!!,1,0,0
29,NAKIA,1,0,0
39,KILLMONGER,1,0,0
40,KILLMON,1,0,0
41,GER,1,0,0
162,DOWNHILL,1,0,0
35,SHURI,1,0,0
158,AIRCRAFT.,1,0,0
44,KLAUE,1,0,0
34,AYO,1,0,0
33,RAMONDA,1,0,0
163,DRAGONFLYER,1,0,0
164,HORN.,1,0,0
43,LINDA,1,0,0
156,T' CHAKA,2,0,0
121,CIA AGENT,2,0,0
114,SONIC DISRUPTER.,2,0,0
116,"DISMANTLES IT,",2,0,0
155,M' BAKU,2,0,0
119,SPARKS FLYING.,2,0,0
152,", I",2,0,0
151,YOUNG KILLMONGER,2,0,0
184,FRENCH AMBASSADOR,2,0,0
182,TAG 1,2,0,0
128,W' KABI,2,0,0
150,"N'JOBU'S JOURNAL,",2,0,0
160,BORDER TRIBE,2,0,0
161,PANTHER SUIT,2,0,0
131,SEVERAL AFRICAN,2,0,0
147,ON NA.KIA,2,0,0
144,CHALLENGE POOL,2,0,0
175,A MASSIVE,2,0,0
134,OKOYE'$ PROJECTION,2,0,0
135,SHURI'S PROJECTION,2,0,0
142,IN THE,2,0,0
185,TAG 2,2,0,0
110,HEAVY GUNFIRE.,2,0,0
0,BLACK PANTHER,2,0,0
95,ON T'CHALLA,2,0,0
83,ELDERLY WOMAN,2,0,0
79,DESIGN GROUP.,2,0,0
77,MASSIVE PET,2,0,0
26,".SO CAL,",2,0,0
28,ON PANTHER,2,0,0
31,NIGERIAN WOMAN,2,0,0
86,ON OKOYE,2,0,0
66,ONTO HIS,2,0,0
36,T' CHALLA,2,0,0
37,ERIK KILLMONGER,2,0,0
38,MUSEUM DIRECTOR,2,0,0
42,SECURITY GUARD,2,0,0
109,SCREAMS OFF.,2,0,0
57,ON SHURI,2,0,0
64,. AYO,2,0,0
87,. I,2,0,0
53,TRIBE ELDER,2,0,0
19,MILITANT LEADER,2,0,0
14,BBC ANCHOR,2,0,0
92,ON NAKIA,2,0,0
104,LEXUS LC.,2,0,0
13,N' JOBU,2,0,0
93,ON KLAUE,2,0,0
10,YOUNG T'CHAKA,2,0,0
97,STAND DOWN!,2,0,0
90,THIRSTY GAMBLER,2,0,0
12,ULYSSES KLAUE.,2,0,0
21,CARGO TRUCK MILITANT,3,0,0
7,DORA MILAJE 1,3,0,0
47,"ELDERS, WARRIORS, DORA",3,0,0
159,BORDER TRIBE COMMANDER,3,0,0
11,YOUNG T' CHAKA,3,0,0
183,A FRENCH AMBASSADOR,3,0,0
180,OAKLAND KID #3,3,0,0
32,"STRAW THATCHED HUTS,",3,0,0
30,NIGERIAN MILITANT #2,3,0,0
179,OAKLAND KID #2,3,0,0
178,OAKLAND KID #1,3,0,0
25,FROM THE ROAD,3,0,0
49,FIVE KINGSGUARD DRUMMERS,3,0,0
181,YOUNG BLACK KID,3,0,0
24,ON MILITANT LEADER,3,0,0
58,MINING TRIBE ELDER,3,0,0
88,TWO MORE CIA,3,0,0
126,"DESIGN GROUP, HALLWAY",3,0,0
124,RIDDLING THE DOORWAY,3,0,0
123,THE CHARGES BLOW,3,0,0
